sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '13', '10', '26', '15', '1', '18', '9', '19', '30', '27', '8', '20', '6', '3', '21', '22', '24', '14', '17', '4', '7', '23', '2', '29', '5', '12', '25', '11', '28']","['16', '13', '10', '15', '1', '18', '9', '19', '30', '27', '8', '20', '6', '22', '24', '14', '17', '2', '29', '5', '12', '25', '11', '28']",[],[]
476-1,"['20', '3', '10', '8', '24', '13', '30', '21', '25', '2', '9', '15', '11', '1', '19', '12', '26', '22', '6', '5', '29', '7', '18', '27', '23', '16', '28', '17', '14', '4']","['3', '10', '24', '21', '2', '9', '15', '11', '19', '12', '26', '6', '5', '29', '7', '18', '27', '16', '28', '4']","['10', '11', '12', '15', '16', '18', '19', '2', '21', '24', '26', '27', '28', '29', '3', '4', '5', '6', '7', '9']","['1', '13', '14', '17', '20', '22', '23', '25', '30', '8']"
119-1,"['26', '30', '8', '22', '17', '18', '12', '3', '24', '2', '1', '19', '11', '27', '25', '14', '13', '4', '29', '16', '5', '9', '6', '10', '23', '15', '7', '21', '28', '20']","['26', '30', '8', '22', '17', '12', '3', '24', '2', '1', '19', '11', '27', '25', '14', '13', '29', '16', '5', '6', '10', '23', '15', '7', '21', '20']","['10', '13', '15', '16', '22', '23', '24', '27', '30', '6', '7']",[]
78-2,"['4', '14', '29', '19', '21', '28', '22', '5', '20', '15', '7', '25', '13', '12', '2', '17', '18', '9', '11', '16', '10', '8', '23', '6', '24', '3', '27', '26', '30', '1']","['14', '28', '22', '5', '15', '7', '25', '13', '12', '2', '17', '9', '16', '10', '8', '23', '24', '27', '26', '30']","['10', '14', '23', '26', '28']",[]
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '10', '12', '13', '17', '21', '22', '26', '28', '29', '30', '5', '9']",[]
125-1,"['28', '8', '14', '17', '3', '16', '2', '30', '12', '20', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['10', '12', '13', '19', '2', '23', '7', '8']",['20']
125-0,"['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['15', '16', '17', '18', '24', '27', '4', '6', '7', '8']",[]
119-0,"['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '6', '23', '26', '7', '15', '2', '17', '25', '14', '13', '9', '12', '27', '30', '3', '22', '21', '20', '24', '4']","['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '25', '14', '13', '9', '12', '27', '30', '3', '22', '21', '20', '24', '4']","['18', '29', '3', '5']",[]
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['2', '26', '23', '4', '1', '29', '16', '5', '10', '28', '18', '27', '13', '15', '25', '20', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']",[],[]
190-2,"['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '23', '17', '21', '15', '8', '2', '19', '22', '9', '6', '1', '10', '28', '18', '20']","['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '23', '17', '21', '15', '8', '19', '22', '6', '1', '10', '28', '18', '20']","['1', '10', '13', '14', '16', '17', '18', '23', '24', '26', '27', '3', '30', '4', '8']",[]
