sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['8', '18', '19', '25', '10', '6', '1', '23', '3', '27', '22', '17', '29', '4', '16', '14', '5', '12', '21', '15', '28', '7', '2', '13', '11', '20', '24', '26', '9', '0']","['18', '10', '27', '17', '4', '5', '12', '21', '7', '2', '13', '9']",[],[]
476-1,"['22', '11', '8', '28', '10', '18', '17', '9', '5', '6', '12', '15', '7', '16', '3', '2', '14', '20', '23', '4', '1', '21', '19', '0', '29', '24', '13', '25', '26', '27']","['22', '11', '8', '10', '18', '17', '6', '12', '15', '7', '16', '20', '23', '4', '1', '21', '19', '0', '29', '24', '25', '26']","['0', '1', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '29', '4', '6', '7', '8']","['13', '14', '2', '27', '28', '3', '5', '9', '9']"
119-1,"['13', '10', '19', '29', '28', '2', '15', '1', '12', '17', '3', '14', '26', '0', '27', '6', '22', '8', '21', '16', '4', '18', '25', '24', '11', '7', '9', '20', '23', '5']","['13', '10', '29', '2', '15', '1', '12', '17', '14', '26', '8', '21', '16', '18', '11', '7', '20', '5']",['21'],[]
78-2,"['22', '2', '15', '7', '29', '28', '6', '24', '25', '17', '21', '3', '9', '4', '1', '11', '26', '10', '5', '23', '27', '14', '18', '20', '0', '12', '19', '13', '16', '8']","['22', '2', '7', '29', '28', '6', '24', '25', '17', '21', '1', '11', '26', '10', '23', '18', '19']",[],[]
125-2,"['27', '18', '17', '12', '25', '15', '16', '19', '29', '26', '8', '4', '0', '6', '9', '5', '2', '13', '20', '11', '14', '7', '3', '24', '28', '10', '21', '23', '1', '22']","['27', '18', '25', '15', '16', '29', '4', '0', '9', '13', '7', '24', '21', '23', '1']","['1', '16', '21', '24', '27', '4', '9']","['14', '2', '26', '26']"
125-1,"['17', '29', '13', '0', '5', '8', '10', '4', '19', '24', '21', '6', '20', '23', '2', '1', '14', '18', '16', '26', '3', '15', '7', '28', '22', '11', '27', '25', '9', '12']","['29', '13', '0', '5', '8', '10', '4', '19', '24', '6', '2', '1', '16', '26', '3', '15', '28', '22', '11', '27']","['10', '11', '13', '19', '2', '26', '29', '3', '4']","['12', '14', '17', '18', '20', '21', '23', '25', '7', '9']"
125-0,"['13', '21', '6', '19', '17', '24', '5', '4', '10', '14', '18', '27', '2', '0', '20', '16', '7', '23', '25', '9', '8', '12', '1', '29', '15', '28', '3', '26', '22', '11']","['13', '21', '19', '17', '5', '4', '10', '14', '18', '27', '2', '20', '16', '7', '23', '25', '9', '12', '1', '29', '28', '3', '26']","['13', '25']",[]
119-0,"['21', '1', '10', '15', '11', '29', '23', '13', '20', '26', '28', '5', '22', '4', '16', '9', '3', '0', '27', '19', '7', '12', '17', '24', '2', '18', '6', '25', '8', '14']","['21', '1', '10', '11', '29', '23', '13', '20', '26', '28', '5', '22', '4', '16', '9', '3', '0', '27', '19', '7', '12', '17', '24', '2', '18', '6', '25', '8', '14']","['12', '16']",[]
787-1,"['9', '8', '10', '0', '26', '22', '1', '13', '24', '3', '19', '23', '17', '21', '18', '16', '4', '6', '14', '2', '27', '12', '7', '25', '11', '28', '20', '5', '29', '15']","['10', '0', '22', '13', '24', '3', '17', '16', '4', '6', '2', '7', '25', '28', '20', '29', '15']","['13', '16', '28']",['19']
190-2,"['7', '25', '11', '14', '3', '8', '23', '12', '0', '5', '9', '10', '15', '26', '4', '19', '27', '17', '20', '28', '24', '22', '1', '13', '21', '6', '29', '16', '2', '18']","['7', '14', '3', '8', '23', '5', '15', '26', '4', '27', '17', '28', '1', '13', '21', '18']","['13', '18', '21', '23', '26', '27', '28', '8']","['12', '20', '24']"
