sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['13', '10', '18', '15', '20', '3', '21', '16', '0', '14', '25', '6', '19', '17', '4', '27', '7', '8', '11', '23', '5', '29', '22', '9', '2', '12', '26', '1', '24', '28']","['13', '10', '18', '20', '14', '17', '29', '12', '26', '28']",[],[]
476-1,"['16', '12', '20', '29', '3', '8', '13', '21', '25', '18', '7', '9', '27', '24', '10', '28', '1', '22', '4', '11', '0', '5', '6', '23', '19', '15', '26', '17', '2', '14']",['21'],['21'],"['0', '1', '10', '11', '12', '14', '15', '16', '17', '18', '19', '2', '20', '22', '23', '24', '25', '26', '27', '28', '29', '3', '4', '5', '6', '7', '8', '9']"
119-1,"['0', '15', '17', '18', '27', '3', '24', '12', '14', '1', '11', '13', '9', '26', '5', '4', '16', '23', '7', '21', '19', '6', '8', '10', '20', '2', '29', '22', '28', '25']","['17', '24', '1', '9', '16', '6']",['24'],"['26', '29']"
78-2,"['4', '2', '29', '19', '0', '21', '13', '22', '8', '24', '1', '20', '5', '27', '28', '9', '12', '17', '18', '14', '11', '10', '26', '7', '6', '15', '25', '16', '3', '23']","['4', '22', '1', '17', '10']",['22'],[]
125-2,"['1', '8', '24', '14', '7', '26', '2', '25', '29', '4', '11', '22', '0', '27', '10', '12', '28', '19', '6', '23', '5', '18', '9', '15', '20', '17', '21', '3', '13', '16']","['1', '8', '24', '26', '2', '29', '22', '0', '27', '19', '6', '5', '18', '20', '17', '21', '16']","['0', '1', '17', '18', '19', '20', '21', '22', '24', '26', '27', '29', '5', '6', '8']","['10', '12', '28', '4', '9']"
125-1,"['28', '14', '15', '17', '3', '20', '16', '10', '6', '2', '0', '18', '12', '5', '29', '1', '23', '4', '26', '19', '25', '8', '11', '21', '13', '27', '7', '24', '22', '9']","['28', '14', '17', '3', '20', '2', '0', '12', '5', '29', '1', '23', '26', '19', '25', '11', '21', '13', '27', '7', '24', '22']","['1', '12', '2', '22']","['10', '15', '16', '18', '4', '6', '8', '9']"
125-0,"['27', '6', '16', '0', '25', '29', '2', '28', '3', '11', '18', '12', '13', '24', '15', '1', '7', '14', '8', '19', '20', '22', '10', '9', '23', '21', '4', '26', '5', '17']","['16', '25', '29', '28', '3', '11', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '23', '21', '4', '26', '5', '17']","['1', '15', '19', '21', '22', '24', '25', '4', '5', '7']",[]
119-0,"['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '25', '2', '14', '13', '9', '6', '0', '12', '27', '3', '7', '22', '21', '20', '24', '4']","['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '25', '2', '14', '13', '9', '6', '0', '12', '27', '3', '7', '22', '21', '20', '24', '4']","['15', '22', '29', '9']",[]
787-1,"['2', '26', '23', '4', '12', '27', '21', '10', '11', '8', '6', '18', '13', '15', '20', '3', '9', '7', '29', '17', '16', '25', '0', '24', '22', '28', '14', '5', '19', '1']","['2', '26', '4', '10', '11', '18', '13', '20', '3', '9', '7', '17', '0', '24', '22', '14']","['13', '17', '2']",[]
190-2,"['27', '4', '16', '14', '25', '5', '8', '0', '3', '24', '13', '9', '23', '12', '26', '17', '18', '28', '19', '22', '6', '2', '11', '29', '15', '1', '10', '21', '20', '7']","['4', '5', '0', '3', '9', '17', '19', '22', '2', '1', '10', '20']","['0', '1', '17', '19', '20', '22', '4', '5', '9']","['15', '16', '24', '25', '27', '28', '7']"
