sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['18', '16', '10', '4', '26', '28', '29', '5', '19', '17', '11', '24', '12', '22', '21', '1', '7', '27', '20', '8', '6', '2', '15', '13', '14', '23', '25', '3', '9', '0']","['18', '16', '10', '26', '28', '29', '19', '17', '11', '24', '12', '22', '21', '1', '7', '20', '8', '6', '2', '15', '13', '14', '23', '25', '3', '9']","['8', '9']",[]
476-1,"['22', '8', '7', '16', '28', '10', '18', '17', '9', '5', '1', '12', '15', '3', '25', '2', '14', '21', '20', '23', '4', '11', '19', '27', '0', '29', '24', '13', '6', '26']","['22', '8', '10', '18', '17', '12', '15', '20', '23', '4', '19', '27', '0', '29', '24', '26']","['0', '10', '12', '15', '17', '18', '19', '20', '22', '23', '24', '26', '27', '29', '4', '8']","['1', '11', '11', '11', '13', '14', '16', '2', '21', '25', '28', '3', '5', '6', '7', '9']"
119-1,"['13', '10', '29', '21', '27', '2', '15', '1', '0', '19', '12', '17', '14', '26', '28', '22', '8', '5', '16', '4', '18', '25', '24', '11', '7', '9', '20', '6', '23', '3']","['13', '10', '29', '27', '2', '15', '1', '0', '19', '12', '17', '14', '26', '28', '8', '16', '18', '11', '7', '20', '6', '3']","['1', '11', '14', '2', '26', '29', '3']",['24']
78-2,"['22', '8', '7', '0', '29', '28', '6', '24', '15', '27', '17', '21', '12', '3', '1', '11', '10', '23', '4', '9', '14', '13', '18', '20', '5', '19', '25', '16', '26', '2']","['22', '8', '7', '0', '29', '28', '6', '24', '15', '27', '17', '21', '12', '1', '11', '10', '23', '4', '9', '13', '18', '20', '5', '19', '16']","['21', '27', '8']",['14']
125-2,"['27', '18', '16', '25', '17', '2', '26', '29', '8', '4', '28', '10', '22', '0', '9', '13', '7', '11', '19', '24', '20', '21', '6', '15', '14', '23', '3', '1', '12', '5']","['27', '18', '25', '17', '2', '26', '29', '4', '28', '10', '22', '0', '9', '13', '7', '11', '19', '24', '20', '21', '6', '14', '23', '3', '1', '12', '5']","['0', '1', '13', '14', '17', '2', '20', '21', '22', '23', '25', '3', '4', '5', '6', '7', '9']","['15', '16', '8', '8']"
125-1,"['29', '13', '0', '5', '8', '12', '20', '4', '10', '19', '18', '24', '6', '17', '14', '9', '2', '1', '16', '26', '3', '15', '28', '22', '23', '11', '27', '7', '25', '21']","['29', '13', '0', '5', '8', '12', '20', '19', '18', '24', '6', '17', '14', '9', '2', '1', '16', '26', '3', '15', '28', '22', '23', '11', '27', '7', '25', '21']","['0', '1', '11', '12', '13', '18', '19', '24', '25', '27', '28', '6', '7', '9']","['10', '4']"
125-0,"['13', '21', '19', '11', '17', '5', '10', '14', '18', '27', '22', '8', '2', '0', '20', '16', '7', '23', '25', '9', '24', '6', '12', '1', '15', '28', '3', '26', '4', '29']","['13', '21', '19', '11', '17', '5', '10', '14', '18', '27', '22', '8', '2', '20', '16', '7', '23', '25', '9', '24', '6', '12', '1', '28', '3', '26']","['11', '19', '28', '5']",[]
119-0,"['6', '17', '1', '10', '11', '29', '23', '20', '26', '28', '5', '9', '13', '16', '15', '3', '0', '27', '19', '7', '12', '22', '21', '4', '24', '2', '18', '25', '8', '14']","['1', '10', '11', '29', '23', '20', '26', '28', '5', '15', '3', '0', '27', '19', '7', '12', '24', '2', '18', '8', '14']","['19', '20']",[]
787-1,"['26', '10', '0', '19', '12', '8', '9', '14', '22', '13', '21', '24', '5', '11', '3', '17', '18', '27', '16', '4', '6', '23', '2', '7', '25', '28', '20', '1', '29', '15']","['26', '10', '0', '19', '12', '8', '9', '14', '13', '21', '24', '5', '11', '3', '17', '18', '27', '16', '4', '6', '23', '2', '7', '25', '28', '20', '1', '29', '15']",[],[]
190-2,"['7', '29', '10', '3', '20', '8', '23', '22', '12', '0', '5', '14', '15', '26', '2', '4', '19', '27', '17', '21', '28', '24', '11', '1', '25', '13', '6', '9', '16', '18']","['7', '29', '10', '3', '20', '8', '23', '22', '5', '15', '26', '2', '4', '27', '17', '28', '11', '1', '25', '13', '9', '18']","['1', '11', '13', '17', '18', '2', '22', '23', '26', '28', '29', '7', '8', '9']","['12', '21']"
416-1,"['25', '3', '18', '0', '15', '7', '27', '12', '13', '5', '8', '6', '14', '10', '21', '26', '24', '28', '20', '4', '19', '22', '29', '1', '11', '23', '16', '9', '2', '17']","['25', '3', '18', '15', '27', '13', '5', '8', '6', '26', '28', '20', '19', '22', '1', '11', '23', '16', '9', '2']","['1', '11', '16', '19', '2', '25', '26', '27', '3', '6', '8', '9']","['0', '10', '12', '12', '14', '14', '14', '21', '24', '29', '4', '7']"
476-2,"['23', '28', '17', '6', '14', '24', '12', '27', '4', '7', '25', '5', '8', '13', '3', '10', '0', '19', '11', '2', '9', '22', '15', '20', '26', '18', '29', '1', '16', '21']","['28', '17', '6', '14', '24', '12', '27', '7', '25', '5', '8', '13', '3', '10', '0', '19', '11', '2', '22', '15', '20', '26', '18', '29', '1']","['11', '13', '29', '3', '7']","['23', '4']"
476-0,"['29', '4', '5', '8', '14', '19', '28', '27', '20', '17', '11', '15', '6', '0', '22', '24', '23', '16', '26', '1', '2', '9', '12', '21', '25', '10', '18', '13', '3', '7']","['29', '19', '28', '11', '6', '22', '23', '9', '21', '10', '18', '13', '3']","['10', '13', '18', '19', '21', '23', '28', '29', '3', '6', '9']","['12', '14', '15', '17', '2', '20', '24', '25', '26', '27', '4', '5', '8']"
