sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '26', '18', '19', '15', '13', '3', '20', '0', '24', '14', '25', '6', '17', '4', '27', '8', '23', '5', '2', '29', '22', '9', '10', '12', '7', '1', '21', '11', '28']","['16', '18', '19', '24', '14', '2', '29', '12', '7', '21', '11', '28']",[],[]
476-1,"['16', '12', '29', '20', '3', '13', '25', '2', '23', '7', '9', '27', '24', '10', '28', '22', '21', '11', '0', '5', '6', '18', '19', '15', '8', '1', '26', '17', '14', '4']","['20', '2', '23', '18', '8', '1', '4']","['1', '18', '2', '20', '23', '4', '8']","['0', '10', '11', '12', '13', '14', '15', '16', '17', '19', '19', '21', '22', '24', '25', '26', '27', '28', '29', '3', '5', '6', '7', '9']"
119-1,"['17', '24', '18', '3', '12', '14', '11', '27', '13', '0', '26', '25', '5', '4', '16', '23', '7', '9', '21', '19', '8', '10', '2', '1', '15', '29', '22', '6', '28', '20']","['3', '27', '0', '25', '16', '15', '20']",[],['5']
78-2,"['4', '2', '19', '0', '11', '29', '21', '13', '8', '24', '1', '5', '20', '22', '27', '17', '28', '9', '12', '18', '14', '10', '26', '7', '6', '15', '25', '16', '3', '23']","['0', '11', '29', '1', '5', '18', '10']",[],[]
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '0', '27', '10', '6', '5', '9', '18', '15', '7', '28', '11', '20', '17', '25', '21', '13', '19', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '0', '27', '10', '6', '5', '9', '18', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['0', '10', '16', '20', '24', '26', '3', '5', '6', '7', '8']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '0', '27', '5', '29', '9', '15', '1', '23', '10', '4', '18', '12', '19', '25', '11', '21', '13', '7', '24', '26', '6', '22']","['28', '8', '14', '17', '3', '20', '2', '0', '5', '29', '9', '15', '1', '23', '10', '4', '18', '19', '25', '11', '21', '13', '7', '24', '6', '22']","['0', '1', '10', '13', '14', '18', '20', '21', '23', '25', '28', '29', '5', '6', '7', '8', '9']","['12', '16', '26', '27']"
125-0,"['6', '24', '16', '25', '29', '28', '3', '11', '27', '12', '13', '15', '1', '23', '7', '14', '22', '8', '19', '10', '0', '9', '2', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '11', '27', '12', '13', '15', '1', '7', '14', '8', '19', '10', '0', '9', '2', '20', '18', '21', '4', '26', '17']","['28', '6']",['5']
119-0,"['18', '8', '1', '27', '19', '16', '28', '25', '10', '11', '23', '26', '2', '17', '15', '14', '13', '9', '6', '0', '12', '3', '7', '20', '22', '29', '24', '5', '4', '21']","['18', '8', '1', '19', '28', '10', '23', '26', '17', '14', '13', '9', '6', '0', '12', '3', '7', '20', '24', '4']","['26', '4']",[]
787-1,"['2', '26', '23', '24', '4', '29', '16', '3', '17', '11', '8', '6', '18', '27', '15', '25', '13', '20', '12', '10', '9', '7', '21', '0', '22', '19', '14', '28', '5', '1']","['2', '26', '23', '4', '29', '16', '18', '27', '25', '20', '12', '9', '7', '21', '0', '22', '19']",[],"['11', '28']"
190-2,"['22', '27', '16', '4', '26', '29', '12', '11', '0', '13', '24', '17', '25', '14', '9', '23', '18', '19', '28', '8', '3', '2', '6', '15', '1', '10', '21', '20', '5', '7']","['16', '4', '26', '29', '12', '11', '0', '13', '25', '14', '9', '8', '2', '6', '1', '10', '20']","['0', '10', '11', '12', '13', '14', '16', '2', '20', '25', '26', '29', '4', '8', '9']",['17']
416-1,"['23', '11', '19', '6', '16', '1', '2', '10', '5', '24', '7', '14', '20', '28', '0', '22', '9', '3', '12', '27', '18', '21', '17', '29', '8', '25', '13', '26', '15', '4']","['23', '19', '2', '10', '5', '21', '17', '8', '25', '13']","['10', '13', '19', '2', '21', '25', '5']","['1', '11', '7']"
476-2,"['14', '6', '17', '19', '22', '15', '4', '5', '2', '12', '27', '8', '13', '1', '7', '10', '11', '0', '25', '28', '20', '3', '16', '24', '9', '18', '29', '23', '26', '21']","['14', '19', '15', '2', '13', '1', '10', '0', '25', '28', '20', '24', '29', '26', '21']","['0', '1', '24', '26', '29']","['12', '18', '3', '8']"
476-0,"['3', '14', '19', '27', '8', '9', '28', '26', '20', '6', '17', '21', '12', '2', '18', '24', '1', '22', '10', '7', '23', '25', '4', '15', '0', '5', '16', '29', '11', '13']","['15', '29', '13']",[],['11']
78-0,"['4', '5', '26', '3', '12', '28', '6', '0', '17', '22', '21', '27', '15', '19', '18', '20', '13', '25', '1', '10', '11', '14', '24', '8', '9', '23', '16', '2', '7', '29']","['5', '26', '3', '0', '17', '22', '21', '19', '18', '1', '10', '11', '8', '9', '23', '2', '29']","['0', '1', '10', '11', '17', '18', '19', '2', '21', '22', '23', '26', '29', '3', '5', '8', '9']","['14', '15', '16', '20', '24', '27', '4', '6', '7']"
787-0,"['20', '2', '4', '19', '5', '15', '16', '27', '10', '14', '22', '21', '0', '13', '18', '26', '25', '17', '29', '7', '12', '24', '23', '8', '3', '28', '1', '6', '11', '9']","['18', '3']",[],[]
190-1,"['22', '2', '18', '14', '28', '15', '25', '1', '4', '16', '8', '20', '10', '9', '13', '24', '5', '27', '12', '17', '21', '19', '26', '3', '7', '6', '0', '23', '11', '29']","['22', '18', '14', '28', '15', '25', '1', '4', '8', '10', '24', '17', '21', '19', '26', '7', '0', '23', '29']","['26', '4', '8']",[]
787-2,"['2', '28', '18', '11', '0', '25', '15', '12', '3', '4', '22', '8', '13', '23', '6', '17', '27', '16', '5', '7', '10', '21', '9', '29', '1', '24', '20', '19', '26', '14']","['0', '25', '15', '12', '6', '17', '27', '7', '9', '20']","['17', '6']","['10', '2', '21', '8']"
119-2,"['4', '13', '3', '25', '21', '7', '28', '16', '8', '11', '1', '2', '10', '18', '12', '14', '24', '6', '20', '23', '9', '17', '15', '26', '0', '27', '5', '22', '29', '19']","['13', '3', '25', '21', '7', '11', '1', '18', '12', '6', '15', '0', '27', '5']","['0', '11', '18', '27', '5', '6', '7']","['14', '16', '19', '26', '9']"
79-0,"['19', '20', '6', '12', '9', '21', '2', '15', '25', '0', '27', '28', '18', '16', '8', '24', '4', '23', '5', '17', '7', '3', '1', '26', '29', '10', '13', '11', '22', '14']","['19', '20', '6', '12', '9', '21', '2', '15', '0', '27', '28', '18', '16', '8', '24', '4', '5', '17', '7', '1', '26', '29', '10', '13', '11', '22', '14']",['15'],[]
416-0,"['11', '21', '22', '24', '17', '9', '15', '26', '12', '25', '29', '3', '14', '1', '4', '6', '23', '2', '16', '10', '27', '19', '13', '18', '5', '0', '28', '20', '7', '8']","['11', '9', '26', '25', '29', '14', '4', '23', '16', '0']","['14', '25', '26', '4']","['2', '20', '20', '24', '24']"
20-0,"['0', '19', '26', '4', '25', '17', '18', '1', '2', '23', '22', '3', '20', '8', '11', '29', '12', '21', '15', '7', '24', '16', '14', '28', '10', '27', '5', '9', '13', '6']","['19', '26', '4', '25', '17', '1', '2', '23', '22', '3', '20', '8', '11', '29', '12', '21', '15', '16', '14', '28', '27', '13']",[],[]
732-1,"['29', '4', '12', '14', '13', '21', '9', '19', '11', '25', '28', '27', '15', '8', '16', '5', '22', '24', '10', '3', '7', '6', '17', '0', '18', '20', '23', '1', '2', '26']","['15', '24', '20']",[],[]
22-0,"['7', '8', '3', '18', '24', '10', '20', '11', '22', '1', '2', '29', '19', '23', '9', '25', '21', '14', '13', '12', '6', '16', '5', '28', '26', '17', '0', '15', '4', '27']","['18', '10', '9', '12', '6', '16', '5', '28', '26', '15']","['12', '15', '28', '6', '9']","['1', '23', '29']"
79-2,"['17', '7', '2', '15', '6', '5', '9', '10', '22', '25', '27', '13', '29', '28', '1', '26', '19', '24', '11', '20', '14', '18', '3', '8', '21', '23', '16', '0', '12', '4']","['17', '7', '5', '13', '26', '19', '11', '18', '3', '16', '4']","['17', '18', '4', '7']",[]
78-1,"['23', '1', '13', '24', '10', '22', '21', '6', '16', '12', '3', '9', '5', '15', '27', '19', '29', '14', '20', '0', '17', '11', '4', '26', '7', '18', '28', '2', '8', '25']","['10', '19', '20', '0', '11', '4', '28']","['10', '19', '28', '4']","['25', '27']"
732-0,"['8', '19', '28', '5', '12', '14', '21', '26', '6', '17', '10', '25', '13', '29', '23', '27', '24', '0', '15', '20', '16', '9', '18', '4', '7', '1', '2', '11', '22', '3']","['8', '10', '25', '29']",['29'],"['1', '13']"
