sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['18', '16', '26', '28', '13', '27', '29', '2', '19', '17', '11', '4', '5', '24', '12', '22', '21', '1', '0', '7', '8', '6', '15', '14', '23', '20', '25', '3', '9', '10']","['18', '16', '26', '28', '27', '29', '19', '17', '11', '4', '5', '24', '12', '22', '21', '1', '0', '7', '8', '6', '15', '14', '23', '25', '3', '9']","['0', '21', '5']",['10']
476-1,"['5', '22', '11', '8', '7', '10', '18', '14', '29', '17', '3', '1', '15', '16', '12', '2', '20', '9', '28', '23', '21', '0', '24', '19', '13', '4', '6', '25', '26', '27']","['5', '22', '11', '8', '10', '18', '14', '17', '3', '16', '2', '20', '9', '28', '23', '21', '0', '24', '13', '25', '26']","['0', '10', '11', '13', '14', '16', '17', '18', '2', '20', '21', '22', '23', '24', '25', '26', '28', '3', '5', '8', '9']","['1', '12', '15', '19', '27', '29', '4', '6', '7']"
119-1,"['13', '10', '29', '2', '15', '22', '1', '0', '19', '12', '17', '14', '26', '28', '27', '23', '24', '8', '21', '16', '4', '18', '11', '7', '20', '9', '6', '3', '25', '5']","['13', '10', '29', '2', '15', '22', '1', '0', '19', '12', '17', '14', '26', '28', '23', '24', '8', '21', '16', '18', '11', '7', '20', '9', '6', '3', '25', '5']","['1', '16', '3', '6', '8']",['27']
78-2,"['22', '8', '15', '7', '0', '29', '6', '24', '27', '17', '28', '21', '12', '1', '11', '10', '23', '4', '9', '14', '13', '18', '3', '20', '5', '19', '25', '16', '26', '2']","['22', '8', '7', '0', '29', '6', '24', '27', '17', '21', '12', '1', '11', '10', '23', '4', '9', '13', '18', '3', '20', '5', '19', '16']",[],[]
125-2,"['27', '18', '12', '25', '17', '2', '16', '26', '19', '29', '4', '10', '0', '9', '13', '7', '11', '24', '28', '20', '21', '6', '15', '14', '23', '8', '3', '1', '22', '5']","['27', '18', '25', '17', '2', '16', '26', '29', '4', '10', '0', '9', '13', '7', '11', '24', '20', '21', '6', '14', '23', '8', '3', '1', '5']","['1', '11', '13', '17', '2', '25', '26', '27', '6', '9']",['19']
125-1,"['26', '29', '13', '0', '5', '8', '12', '20', '10', '4', '19', '18', '24', '6', '17', '9', '2', '14', '16', '3', '15', '28', '22', '23', '11', '27', '1', '7', '25', '21']","['29', '13', '0', '5', '8', '12', '20', '10', '4', '19', '18', '24', '6', '17', '9', '2', '16', '3', '15', '28', '22', '23', '11', '27', '7', '25', '21']","['0', '10', '11', '13', '15', '17', '18', '19', '20', '21', '22', '24', '25', '27', '29', '3', '5', '6', '8', '9']","['1', '14', '26']"
125-0,"['13', '21', '19', '11', '17', '5', '4', '10', '14', '27', '22', '18', '8', '2', '20', '7', '23', '25', '9', '24', '6', '12', '1', '29', '28', '0', '16', '3', '26', '15']","['13', '21', '19', '11', '17', '5', '4', '10', '14', '27', '22', '8', '2', '20', '7', '23', '25', '9', '24', '6', '12', '1', '29', '28', '0', '3', '26', '15']",[],[]
119-0,"['14', '21', '1', '10', '11', '29', '23', '13', '20', '26', '28', '5', '22', '4', '16', '15', '9', '3', '0', '27', '19', '7', '12', '17', '24', '2', '18', '8', '6', '25']","['21', '1', '10', '11', '29', '23', '13', '20', '26', '28', '5', '22', '4', '15', '9', '3', '0', '27', '19', '7', '12', '17', '24', '2', '18', '6', '25']",[],[]
787-1,"['10', '26', '19', '20', '22', '12', '8', '9', '13', '21', '24', '3', '17', '27', '0', '18', '16', '4', '6', '23', '14', '2', '29', '7', '25', '11', '28', '5', '1', '15']","['10', '19', '22', '12', '8', '9', '13', '21', '24', '3', '17', '27', '16', '4', '6', '23', '2', '7', '25', '28', '1', '15']","['22', '8']","['0', '14', '20']"
190-2,"['7', '16', '10', '0', '14', '3', '20', '8', '23', '22', '12', '15', '26', '4', '19', '27', '17', '28', '24', '11', '1', '25', '5', '13', '21', '9', '29', '6', '2', '18']","['7', '16', '10', '0', '14', '3', '20', '8', '23', '22', '12', '15', '26', '4', '27', '17', '28', '11', '1', '25', '13', '21', '9', '6', '18']","['0', '10', '12', '14', '17', '20', '23', '26', '28', '4', '6', '9']","['19', '24', '29', '5', '5']"
416-1,"['1', '18', '9', '0', '3', '7', '27', '12', '13', '8', '14', '28', '21', '6', '4', '23', '20', '17', '25', '22', '11', '29', '24', '15', '16', '5', '10', '2', '26', '19']","['18', '27', '12', '13', '4', '20', '17', '22', '29', '24', '16', '10', '2']","['10', '12', '13', '16', '18', '2', '20', '24', '29', '4']","['14', '19', '19', '19', '21', '23', '23', '23', '23', '23', '23', '26', '26', '26', '28', '28', '3', '5', '6', '6', '6', '6', '6', '6', '7', '7', '7', '7', '7', '8', '8', '8', '8', '9', '9', '9', '9', '9', '9']"
