sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['13', '10', '26', '15', '12', '14', '18', '27', '8', '3', '20', '21', '22', '16', '0', '28', '25', '6', '19', '17', '29', '11', '23', '2', '9', '5', '7', '1', '24', '4']","['13', '10', '15', '27', '8', '22', '2', '5', '7', '4']",[],"['1', '24', '24']"
476-1,"['16', '20', '29', '3', '8', '24', '13', '21', '25', '2', '18', '7', '9', '27', '10', '28', '1', '19', '12', '26', '22', '4', '11', '0', '5', '6', '23', '15', '17', '14']","['24', '21', '2', '19', '12', '26']","['12', '19', '2', '21', '24', '26']","['0', '1', '10', '11', '13', '14', '15', '16', '17', '18', '20', '22', '23', '25', '27', '28', '29', '3', '4', '5', '6', '7', '8', '9']"
119-1,"['0', '8', '17', '18', '3', '24', '12', '1', '19', '11', '27', '13', '26', '14', '5', '4', '16', '23', '9', '6', '10', '2', '15', '29', '7', '22', '21', '28', '20', '25']","['8', '17', '24', '1', '19', '11', '27', '14', '16', '6', '15', '7', '21', '20']","['11', '27']",[]
78-2,"['4', '14', '2', '29', '19', '0', '21', '13', '8', '24', '1', '5', '15', '22', '27', '3', '28', '20', '12', '6', '17', '18', '9', '11', '16', '10', '26', '7', '25', '23']","['14', '1', '5', '15', '3', '20', '12', '6', '17', '9', '16', '10']",[],[]
125-2,"['1', '14', '24', '12', '26', '23', '4', '29', '3', '22', '27', '10', '19', '6', '0', '5', '9', '18', '15', '7', '28', '2', '8', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '24', '12', '26', '23', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '15', '7', '28', '11', '20', '17', '25', '21', '16']","['1', '10', '12', '14', '16', '17', '19', '22', '24', '25', '27', '28', '29', '4', '6', '7', '9']",['2']
125-1,"['14', '5', '16', '28', '29', '0', '21', '18', '3', '20', '15', '1', '23', '26', '13', '10', '4', '7', '12', '19', '25', '8', '17', '11', '27', '24', '6', '2', '22', '9']","['14', '16', '0', '15', '1', '23', '26', '10', '4', '25', '11', '27', '24', '6', '22']","['15', '16', '22', '23', '24', '25', '6']","['12', '13', '17', '18', '19', '2', '20', '21', '28', '29', '3', '5', '7', '8']"
125-0,"['6', '1', '16', '0', '25', '3', '29', '28', '11', '18', '27', '12', '13', '24', '15', '7', '14', '22', '8', '19', '10', '9', '2', '23', '20', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '11', '27', '12', '13', '24', '15', '7', '14', '8', '19', '10', '9', '2', '23', '20', '21', '4', '26', '5', '17']","['13', '21', '23', '27', '5', '7']",['22']
119-0,"['11', '18', '1', '27', '19', '16', '28', '24', '10', '23', '26', '25', '4', '2', '15', '14', '13', '9', '6', '0', '12', '3', '7', '21', '20', '22', '8', '29', '17', '5']","['11', '18', '1', '19', '28', '10', '23', '26', '25', '2', '14', '13', '9', '6', '0', '12', '3', '7', '21', '20']",['11'],[]
787-1,"['2', '26', '23', '22', '4', '1', '29', '16', '27', '21', '3', '17', '11', '8', '6', '28', '15', '25', '13', '20', '12', '10', '9', '7', '18', '0', '24', '14', '5', '19']","['2', '26', '4', '1', '29', '16', '11', '28', '15', '25', '20', '12', '9', '7', '0', '24']",['1'],"['13', '3']"
190-2,"['27', '4', '16', '26', '14', '29', '12', '24', '11', '0', '3', '7', '25', '13', '23', '17', '18', '8', '19', '22', '2', '9', '6', '15', '1', '10', '28', '21', '20', '5']","['27', '4', '26', '29', '12', '24', '11', '0', '3', '7', '25', '23', '17', '8', '19', '22', '2', '6', '1', '10', '28', '20']","['20', '22', '24', '25', '26', '27', '6', '7']","['15', '16', '18', '21', '21', '5', '9']"
416-1,"['23', '11', '19', '6', '18', '10', '25', '1', '2', '24', '7', '14', '20', '28', '0', '22', '9', '3', '27', '21', '8', '5', '12', '13', '17', '16', '29', '26', '15', '4']","['23', '19', '18', '2', '12', '17', '16']","['12', '16', '17', '2', '23']","['0', '11', '21', '28', '28', '28', '4', '8']"
476-2,"['17', '15', '7', '22', '0', '4', '8', '1', '5', '12', '19', '27', '11', '13', '2', '25', '10', '28', '20', '3', '26', '16', '24', '9', '18', '29', '23', '21', '6', '14']","['17', '7', '8', '11', '13', '10', '28', '20', '24', '29', '21', '6']","['10', '11', '13', '17', '28', '7']","['15', '16', '26', '26', '3', '3', '9']"
476-0,"['3', '19', '27', '8', '22', '1', '9', '28', '26', '20', '6', '17', '13', '12', '0', '2', '21', '18', '24', '10', '7', '14', '23', '25', '4', '5', '16', '29', '11', '15']","['22', '1', '0', '21', '14', '29']",[],"['17', '26']"
78-0,"['2', '4', '11', '21', '25', '12', '28', '29', '6', '0', '17', '3', '18', '27', '15', '8', '20', '5', '19', '22', '1', '14', '24', '23', '10', '9', '16', '7', '26', '13']","['25', '0', '9', '13']","['13', '25', '9']",[]
787-0,"['20', '2', '4', '5', '15', '16', '27', '3', '10', '14', '22', '21', '0', '13', '26', '25', '17', '18', '29', '7', '12', '24', '23', '8', '19', '28', '1', '6', '11', '9']",['19'],[],[]
190-1,"['29', '6', '16', '18', '22', '9', '12', '13', '2', '14', '28', '25', '23', '4', '20', '10', '11', '24', '17', '21', '3', '8', '7', '19', '5', '27', '0', '1', '15', '26']","['6', '16', '18', '9', '12', '13', '2', '14', '28', '25', '4', '10', '11', '17', '21', '3', '7', '5', '27', '0']","['10', '14', '16', '18', '2', '21', '28', '3', '5', '6']",['8']
787-2,"['18', '11', '25', '2', '3', '4', '27', '12', '9', '22', '29', '8', '5', '14', '23', '17', '6', '20', '7', '10', '15', '24', '1', '0', '21', '16', '13', '19', '28', '26']","['25', '2', '3', '4', '12', '29', '5', '14', '23', '6', '7', '24', '21', '16', '13', '28']",[],[]
119-2,"['4', '14', '13', '3', '0', '2', '21', '28', '17', '16', '8', '11', '1', '7', '24', '6', '9', '20', '5', '23', '22', '15', '18', '19', '29', '27', '26', '10', '25', '12']","['14', '13', '3', '2', '21', '17', '11', '24', '6', '9', '22', '15', '19', '29', '26', '10']",['26'],['4']
79-0,"['19', '20', '12', '7', '21', '2', '14', '25', '27', '28', '18', '16', '8', '24', '4', '23', '5', '17', '0', '6', '1', '26', '29', '15', '10', '13', '22', '11', '3', '9']","['19', '20', '12', '21', '2', '27', '28', '18', '16', '8', '24', '4', '5', '17', '26', '29', '10', '13', '11', '3']","['19', '21', '24', '29', '3', '13']","['25', '7']"
416-0,"['11', '22', '13', '15', '26', '20', '25', '29', '3', '14', '12', '4', '6', '21', '19', '23', '17', '16', '10', '1', '18', '7', '5', '2', '0', '28', '9', '24', '8', '27']","['11', '13', '26', '20', '25', '29', '14', '12', '4', '21', '19', '23', '17', '16', '10', '1', '7', '2', '0', '24', '27']","['1', '12', '13', '16', '19', '20', '21', '23', '25', '26', '27', '29', '4']","['18', '22', '6']"
20-0,"['0', '11', '26', '13', '23', '20', '25', '19', '18', '16', '1', '2', '4', '7', '3', '8', '29', '12', '21', '24', '10', '15', '14', '28', '27', '5', '17', '6', '22', '9']","['26', '25', '1', '2', '7', '3', '8', '29', '12', '21', '10', '14', '28', '27', '9']",[],[]
732-1,"['29', '4', '9', '12', '14', '0', '23', '13', '21', '24', '11', '25', '28', '27', '15', '8', '16', '5', '22', '10', '3', '7', '6', '19', '17', '20', '18', '1', '2', '26']","['9', '0', '23', '19']","['0', '19', '23', '9']","['11', '14', '16', '16', '22', '27', '28', '8']"
22-0,"['7', '16', '8', '3', '24', '15', '20', '1', '2', '29', '19', '9', '23', '25', '21', '14', '13', '12', '11', '6', '5', '18', '10', '17', '22', '0', '4', '28', '27', '26']","['20', '12', '11', '6', '5', '22']","['11', '12', '22']","['10', '21']"
79-2,"['7', '2', '15', '6', '5', '17', '16', '26', '9', '10', '22', '25', '27', '13', '29', '28', '1', '24', '20', '14', '4', '0', '11', '12', '8', '21', '23', '3', '19', '18']","['13', '0', '12']",[],['22']
78-1,"['22', '1', '13', '10', '21', '6', '16', '12', '3', '20', '23', '9', '5', '25', '19', '4', '27', '18', '29', '11', '14', '15', '0', '17', '26', '2', '7', '28', '24', '8']","['22', '23', '25', '18', '15', '0', '2', '24']","['0', '15', '2', '22', '23', '24', '25']","['1', '26', '3']"
732-0,"['19', '28', '10', '5', '8', '25', '12', '21', '26', '6', '17', '13', '23', '27', '24', '0', '15', '20', '9', '18', '16', '14', '29', '4', '7', '2', '1', '11', '22', '3']","['9', '16', '14', '2']","['14', '16', '2', '9']","['11', '21', '7', '8']"
