sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['19', '16', '25', '9', '4', '17', '18', '3', '13', '7', '29', '5', '21', '11', '22', '15', '1', '28', '27', '20', '8', '6', '2', '14', '23', '24', '26', '0', '12', '10']","['16', '29', '11', '22', '1', '20', '8', '6', '2', '14', '23']",[],"['18', '7']"
476-1,"['5', '22', '11', '7', '10', '18', '14', '29', '17', '3', '9', '8', '12', '15', '16', '2', '20', '28', '23', '1', '21', '19', '0', '24', '13', '4', '6', '25', '26', '27']","['5', '22', '11', '10', '18', '14', '17', '3', '12', '15', '16', '2', '20', '28', '23', '1', '21', '19', '0', '24', '13', '25', '26']","['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '28', '3', '5']","['27', '29', '4', '6', '7', '8', '9']"
119-1,"['13', '10', '29', '27', '2', '15', '0', '7', '19', '12', '17', '14', '26', '28', '23', '24', '1', '22', '8', '21', '16', '4', '18', '11', '20', '9', '6', '3', '25', '5']","['13', '10', '29', '27', '2', '15', '0', '19', '12', '17', '14', '26', '28', '23', '24', '8', '21', '16', '18', '11', '20', '9', '6', '3', '25', '5']","['13', '19', '2', '23', '27']",[]
78-2,"['22', '8', '2', '0', '7', '29', '6', '24', '25', '15', '27', '17', '28', '12', '9', '11', '10', '21', '23', '4', '13', '18', '20', '3', '1', '5', '19', '26', '16', '14']","['22', '8', '2', '0', '29', '6', '24', '25', '15', '27', '17', '12', '11', '10', '23', '4', '13', '18', '3', '5', '19', '14']",['0'],[]
125-2,"['27', '18', '25', '17', '15', '2', '16', '26', '29', '4', '28', '10', '22', '0', '9', '13', '7', '11', '19', '24', '20', '21', '6', '14', '23', '8', '3', '1', '12', '5']","['27', '18', '25', '17', '15', '2', '16', '26', '29', '4', '28', '10', '22', '0', '9', '13', '7', '11', '19', '24', '20', '21', '6', '14', '23', '8', '3', '1', '12', '5']","['1', '16', '19', '20', '25', '6', '7']",[]
125-1,"['3', '26', '29', '13', '0', '5', '20', '4', '10', '15', '21', '6', '19', '17', '14', '9', '8', '2', '24', '18', '16', '22', '23', '11', '27', '28', '25', '1', '7', '12']","['29', '13', '0', '5', '20', '6', '17', '14', '9', '2', '16', '22', '23', '11', '27', '7']","['11', '13', '14', '16', '17', '2', '20', '22', '23', '27', '29', '5', '6', '7']","['1', '10', '12', '18', '19', '24', '25', '25', '26', '28', '3', '4', '8', '8']"
125-0,"['13', '21', '19', '11', '17', '5', '4', '10', '14', '18', '27', '22', '8', '2', '20', '16', '7', '23', '25', '9', '24', '6', '12', '1', '29', '0', '28', '3', '26', '15']","['13', '21', '19', '11', '17', '5', '4', '14', '18', '27', '22', '8', '2', '20', '16', '7', '23', '25', '9', '24', '6', '12', '1', '29', '0', '3', '26', '15']","['11', '12', '14', '15', '18', '2', '21', '22', '23', '26', '9']",['28']
119-0,"['11', '21', '1', '10', '15', '29', '23', '13', '20', '26', '28', '5', '22', '4', '16', '9', '3', '0', '27', '19', '7', '12', '17', '24', '2', '18', '6', '25', '8', '14']","['21', '1', '10', '29', '23', '13', '20', '26', '28', '5', '22', '4', '16', '9', '3', '0', '27', '19', '7', '12', '17', '24', '2', '18', '6', '25', '8', '14']",[],[]
787-1,"['26', '10', '0', '19', '12', '8', '1', '9', '14', '22', '13', '21', '24', '5', '11', '3', '17', '18', '27', '16', '4', '6', '23', '2', '7', '25', '28', '20', '29', '15']","['26', '10', '0', '19', '12', '8', '9', '14', '13', '21', '24', '5', '11', '3', '17', '18', '27', '16', '4', '6', '23', '2', '7', '25', '28', '20', '29', '15']","['10', '11', '13', '19', '23', '4', '8', '9']",['1']
190-2,"['7', '16', '29', '10', '0', '14', '20', '23', '22', '5', '12', '15', '26', '2', '4', '19', '27', '17', '28', '11', '1', '25', '13', '8', '21', '6', '24', '9', '3', '18']","['7', '16', '29', '10', '0', '14', '20', '23', '22', '5', '12', '15', '26', '2', '4', '19', '27', '28', '11', '1', '25', '13', '21', '24', '9', '18']","['0', '1', '10', '11', '13', '14', '15', '16', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '7', '9']",['8']
416-1,"['25', '18', '13', '9', '0', '3', '15', '7', '27', '12', '14', '8', '22', '26', '24', '6', '20', '28', '4', '17', '1', '2', '11', '29', '23', '16', '21', '5', '10', '19']","['25', '18', '15', '27', '12', '14', '8', '26', '28', '4', '17', '1', '29', '23', '16', '21', '10']","['10', '14', '16', '17', '18', '21', '23', '25', '26', '27', '4', '8']","['13', '13', '19', '19', '20', '20', '22', '7', '7']"
476-2,"['28', '17', '14', '24', '12', '27', '25', '5', '8', '13', '3', '4', '19', '11', '2', '1', '22', '7', '0', '15', '20', '26', '18', '9', '29', '23', '6', '16', '21', '10']","['28', '17', '14', '24', '12', '27', '25', '5', '8', '13', '3', '4', '19', '11', '2', '22', '15', '20', '26', '18', '9', '29', '23', '21']","['12', '13', '20', '27', '3', '4', '5']",[]
476-0,"['7', '12', '14', '19', '28', '16', '17', '29', '5', '13', '20', '11', '6', '22', '24', '23', '8', '26', '0', '4', '9', '21', '10', '18', '15', '25', '1', '3', '2', '27']","['7', '12', '19', '28', '16', '17', '5', '20', '11', '6', '22', '23', '8', '0', '4', '9', '21', '10', '18', '15', '25', '1', '3', '2', '27']","['0', '17', '19', '22', '25', '3', '5', '6', '8', '9']",[]
78-0,"['28', '19', '26', '2', '23', '11', '21', '27', '25', '16', '13', '7', '10', '5', '17', '0', '6', '4', '18', '20', '1', '24', '8', '14', '9', '12', '29', '3', '15', '22']","['28', '19', '2', '23', '11', '21', '25', '13', '7', '10', '0', '6', '18', '20', '1', '24', '8', '14', '9', '12', '29', '3', '15', '22']","['14', '15', '2', '22', '23']",[]
787-0,"['8', '3', '17', '28', '20', '6', '22', '18', '26', '12', '24', '4', '5', '13', '25', '21', '19', '9', '1', '7', '10', '16', '27', '2', '29', '14', '23', '0', '15', '11']","['8', '3', '17', '28', '20', '6', '22', '18', '26', '12', '24', '4', '5', '13', '25', '21', '19', '9', '1', '7', '10', '16', '27', '29', '14', '23', '0', '15', '11']",['1'],[]
190-1,"['6', '1', '0', '4', '11', '19', '7', '26', '29', '9', '12', '2', '22', '23', '14', '15', '27', '28', '8', '18', '3', '25', '5', '20', '16', '24', '21', '17', '10', '13']","['6', '1', '0', '11', '19', '7', '26', '29', '9', '12', '2', '22', '23', '14', '15', '27', '28', '8', '18', '3', '25', '20', '16', '24', '21', '17', '10', '13']",[],[]
787-2,"['8', '4', '1', '26', '0', '22', '11', '25', '17', '14', '7', '10', '24', '29', '18', '12', '3', '16', '21', '27', '28', '2', '9', '15', '6', '13', '20', '23', '19', '5']","['0', '25', '14', '29', '21']",[],[]
119-2,"['14', '16', '26', '24', '3', '17', '4', '0', '2', '13', '23', '5', '11', '25', '15', '28', '8', '7', '9', '29', '22', '21', '18', '10', '12', '6', '1', '27', '19', '20']","['14', '16', '26', '24', '3', '17', '4', '0', '2', '13', '23', '5', '11', '28', '8', '7', '9', '29', '22', '21', '18', '10', '6', '1', '27', '20']","['14', '2', '21', '23', '24', '3', '7']",[]
79-0,"['16', '25', '0', '14', '28', '24', '3', '5', '12', '4', '10', '17', '21', '6', '20', '27', '7', '22', '26', '2', '9', '8', '29', '1', '19', '11', '15', '13', '23', '18']","['16', '25', '0', '14', '28', '24', '3', '5', '12', '4', '10', '17', '21', '6', '20', '27', '7', '22', '26', '2', '9', '8', '29', '1', '19', '11', '15', '13', '23', '18']",[],[]
416-0,"['22', '29', '25', '0', '27', '19', '13', '15', '23', '16', '12', '1', '14', '26', '3', '4', '8', '20', '9', '24', '11', '7', '10', '17', '2', '5', '28', '18', '21', '6']","['29', '25', '19', '13', '23', '12', '1', '14', '26', '3', '4', '8', '20', '24', '11', '7', '10', '17', '2', '5', '18', '21']","['12', '17']",['22']
