sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['26', '9', '15', '14', '13', '18', '20', '3', '21', '16', '0', '28', '25', '6', '19', '17', '4', '27', '7', '8', '29', '11', '23', '5', '22', '10', '2', '12', '1', '24']","['9', '20', '12']",[],[]
476-1,"['16', '12', '20', '29', '3', '8', '13', '25', '18', '9', '27', '24', '10', '28', '1', '19', '22', '4', '21', '11', '0', '5', '6', '7', '23', '15', '26', '17', '2', '14']","['3', '19', '7']","['19', '3', '7']","['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '4', '5', '6', '8', '9']"
119-1,"['0', '17', '22', '18', '3', '24', '12', '11', '27', '13', '26', '14', '5', '4', '16', '23', '7', '9', '19', '8', '10', '2', '1', '15', '29', '6', '21', '28', '20', '25']","['22', '3', '24', '11', '27', '14', '16', '15', '21', '20']","['11', '14', '15', '16', '20', '22', '27', '3']","['0', '10', '19', '25', '4', '5', '6', '7']"
78-2,"['4', '14', '19', '0', '29', '24', '1', '5', '20', '21', '7', '22', '27', '3', '13', '28', '9', '12', '2', '6', '17', '18', '11', '16', '10', '8', '23', '15', '25', '26']","['14', '0', '29', '1', '5', '21', '7', '3', '13', '12', '2', '6', '17', '18', '16', '10', '8', '23', '26']","['12', '17', '18', '23', '29']","['11', '25']"
125-2,"['1', '14', '24', '12', '23', '2', '4', '29', '3', '22', '0', '27', '10', '19', '26', '6', '5', '9', '18', '7', '15', '28', '8', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '24', '12', '23', '2', '4', '29', '3', '22', '0', '27', '10', '19', '6', '5', '9', '18', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['11', '20', '27']",[]
125-1,"['24', '28', '14', '3', '20', '5', '16', '11', '2', '0', '21', '12', '29', '15', '23', '26', '10', '4', '18', '19', '25', '8', '17', '13', '27', '7', '6', '22', '1', '9']","['28', '14', '3', '20', '16', '2', '0', '12', '29', '15', '23', '26', '10', '4', '18', '19', '25', '13', '27', '7', '6', '22']","['0', '10', '12', '13', '14', '15', '16', '18', '19', '2', '20', '22', '23', '25', '26', '27', '28', '29', '4', '6', '7']","['1', '11', '17', '21', '24', '5', '9']"
125-0,"['6', '27', '16', '25', '29', '28', '3', '12', '13', '24', '15', '1', '7', '14', '8', '19', '20', '22', '10', '0', '9', '2', '11', '23', '18', '21', '4', '5', '26', '17']","['6', '16', '25', '29', '28', '3', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '0', '9', '2', '23', '18', '21', '4', '5', '17']","['12', '19', '23', '24', '28', '29', '4', '6', '8']","['20', '27']"
119-0,"['11', '16', '13', '1', '3', '19', '5', '28', '10', '29', '23', '26', '7', '15', '25', '2', '18', '14', '9', '6', '12', '27', '0', '22', '21', '20', '8', '17', '24', '4']","['11', '16', '1', '19', '5', '28', '10', '29', '23', '26', '15', '25', '2', '14', '9', '6', '12', '27', '22', '21', '20', '24', '4']","['10', '23']",['13']
787-1,"['2', '0', '26', '23', '4', '5', '11', '8', '18', '27', '13', '15', '25', '20', '12', '10', '3', '9', '7', '29', '21', '6', '17', '16', '24', '22', '14', '28', '19', '1']","['2', '26', '23', '4', '5', '11', '18', '27', '13', '15', '25', '20', '12', '3', '9', '21', '6', '17', '24', '22']","['12', '13', '15', '17', '18', '20', '24', '26', '27', '4', '5', '9']","['0', '10', '29', '7', '8']"
190-2,"['27', '16', '26', '29', '24', '1', '5', '11', '0', '3', '13', '17', '25', '14', '9', '10', '23', '12', '21', '28', '15', '8', '2', '19', '22', '4', '6', '18', '20', '7']","['27', '16', '26', '29', '24', '5', '11', '0', '3', '13', '25', '14', '9', '23', '21', '15', '8', '19', '22', '6', '18', '20']","['0', '11', '13', '14', '15', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '29', '3', '5', '6', '8', '9']","['1', '10', '17', '2', '2', '2', '2', '28', '4']"
416-1,"['11', '16', '6', '10', '25', '1', '2', '22', '24', '14', '20', '0', '7', '9', '3', '28', '12', '27', '18', '17', '21', '5', '13', '29', '8', '23', '26', '19', '15', '4']","['6', '2', '22', '7', '28', '21', '8']","['2', '6', '7', '8']","['11', '13', '14', '16', '19', '19', '23', '24', '24', '25', '25', '26', '3', '3', '5']"
476-2,"['6', '17', '7', '22', '0', '15', '13', '8', '1', '12', '4', '24', '19', '27', '2', '20', '25', '11', '28', '3', '16', '9', '5', '18', '29', '23', '26', '21', '10', '14']","['7', '15', '8', '4', '3', '5', '29', '26', '21']","['15', '21', '29', '4']","['1', '20', '23', '28']"
476-0,"['3', '14', '27', '8', '1', '28', '6', '17', '29', '13', '10', '21', '12', '2', '26', '9', '18', '24', '22', '7', '23', '25', '4', '0', '5', '16', '19', '11', '15', '20']","['1', '6', '10', '26', '9', '16', '19', '20']",[],[]
78-0,"['2', '4', '11', '21', '12', '28', '17', '3', '15', '0', '18', '19', '8', '20', '5', '25', '1', '22', '14', '6', '23', '10', '16', '24', '9', '27', '7', '29', '26', '13']","['17', '15', '19', '1', '6', '24', '27', '29', '13']",['27'],[]
