sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '13', '10', '15', '1', '18', '9', '19', '27', '8', '20', '6', '3', '22', '24', '14', '25', '17', '29', '2', '5', '12', '7', '0', '26', '21', '11', '4', '23', '28']","['16', '13', '10', '15', '1', '18', '9', '19', '27', '8', '20', '6', '22', '24', '14', '17', '2', '5', '12', '7', '0', '26', '21', '11', '4', '23', '28']",['26'],[]
476-1,"['13', '16', '12', '29', '20', '3', '25', '18', '23', '9', '27', '24', '10', '28', '19', '22', '4', '21', '11', '5', '0', '6', '7', '15', '8', '1', '26', '17', '2', '14']","['13', '20', '3', '23', '19', '5', '7', '8', '1']","['1', '13', '19', '20', '23', '3', '5', '7', '8']","['0', '0', '10', '11', '12', '14', '15', '16', '17', '18', '2', '21', '22', '24', '24', '25', '26', '27', '28', '29', '4', '6', '9']"
119-1,"['8', '24', '22', '28', '17', '18', '27', '3', '12', '1', '19', '11', '13', '0', '26', '25', '14', '4', '29', '16', '5', '23', '9', '10', '2', '15', '7', '6', '21', '20']","['8', '22', '28', '17', '3', '1', '19', '0', '25', '14', '29', '16', '5', '10', '15', '7', '21', '20']","['15', '16', '19', '22', '25', '28', '3', '5']","['2', '4']"
78-2,"['4', '2', '29', '19', '0', '11', '13', '24', '1', '21', '7', '22', '5', '27', '25', '28', '20', '9', '12', '6', '17', '18', '10', '14', '16', '8', '26', '23', '15', '3']","['4', '11', '1', '21', '7', '25', '20', '12', '6', '17', '16', '8', '23']","['11', '7']",[]
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '0', '27', '10', '19', '6', '5', '9', '18', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '0', '27', '10', '19', '6', '5', '9', '18', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['0', '1', '11', '12', '13', '16', '18', '20', '23', '24', '29', '3', '4', '5', '6', '7', '9']",[]
125-1,"['28', '14', '17', '3', '20', '16', '10', '2', '0', '18', '12', '5', '29', '9', '15', '1', '23', '26', '4', '19', '25', '8', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '14', '17', '3', '20', '16', '2', '0', '12', '5', '29', '9', '15', '1', '23', '26', '4', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['0', '1', '12', '13', '14', '15', '16', '17', '19', '20', '21', '22', '24', '25', '27', '28', '29', '3', '4', '5', '6', '9']","['10', '18', '8']"
125-0,"['6', '16', '25', '29', '28', '3', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '0', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '0', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['0', '14', '18', '5']",[]
119-0,"['18', '16', '14', '1', '27', '19', '5', '28', '10', '11', '29', '23', '26', '15', '17', '25', '2', '13', '20', '9', '6', '0', '12', '3', '7', '22', '21', '8', '24', '4']","['18', '16', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '25', '2', '13', '9', '6', '0', '12', '3', '7', '22', '21', '24', '4']",[],[]
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '11', '28', '18', '27', '13', '15', '25', '20', '12', '10', '3', '9', '7', '21', '6', '17', '0', '24', '22', '19', '8', '14']","['2', '26', '23', '4', '1', '29', '16', '5', '11', '28', '18', '27', '13', '25', '20', '12', '3', '9', '7', '21', '6', '17', '0', '24', '22', '19', '8', '14']",[],[]
190-2,"['27', '16', '4', '26', '29', '5', '11', '0', '3', '13', '24', '25', '14', '9', '23', '12', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18', '20', '7']","['16', '4', '26', '29', '5', '11', '0', '3', '13', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18']","['0', '1', '10', '13', '17', '18', '2', '21', '25', '26', '5', '6', '8']",['24']
