sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '30', '13', '3', '10', '15', '1', '18', '9', '19', '27', '8', '20', '6', '22', '24', '14', '17', '2', '29', '5', '12', '7', '25', '26', '21', '11', '4', '23', '28']","['16', '13', '3', '10', '15', '1', '18', '9', '19', '27', '8', '20', '6', '22', '24', '14', '17', '2', '29', '5', '12', '7', '25', '26', '21', '11', '4', '23', '28']",[],[]
476-1,"['16', '17', '20', '29', '3', '8', '24', '13', '14', '30', '21', '2', '7', '9', '15', '27', '11', '10', '1', '25', '12', '26', '22', '4', '6', '5', '18', '23', '19', '28']","['17', '24', '14', '21', '2', '9', '15', '11', '25', '12', '26', '6', '18', '28']","['11', '12', '14', '15', '17', '18', '2', '21', '24', '25', '26', '28', '6', '9']","['1', '10', '13', '16', '19', '20', '22', '23', '27', '29', '3', '30', '4', '5', '7', '8']"
119-1,"['30', '8', '15', '22', '28', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '26', '25', '14', '13', '5', '29', '16', '18', '21', '6', '10', '4', '23', '7', '20']","['30', '8', '22', '28', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '25', '14', '13', '29', '16', '18', '6', '10', '4', '23', '7', '20']","['1', '10', '19', '24', '27', '3', '30', '6', '8', '9']",['5']
78-2,"['14', '4', '29', '22', '24', '1', '5', '21', '15', '27', '25', '13', '28', '20', '30', '12', '2', '6', '17', '18', '9', '19', '11', '16', '10', '8', '26', '7', '23', '3']","['14', '4', '22', '1', '5', '21', '15', '25', '13', '20', '12', '2', '6', '17', '18', '9', '19', '16', '10', '8', '23']","['1', '10', '12', '13', '15', '16', '20', '21', '23', '25', '5', '6', '8', '9']",[]
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '12', '2', '25', '27', '3', '5']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['1', '11', '15', '19', '2', '24', '29', '3', '6', '9']",[]
125-0,"['6', '16', '25', '3', '29', '28', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['14', '19', '23']","['3', '3']"
119-0,"['11', '18', '16', '8', '14', '1', '19', '5', '28', '10', '23', '26', '15', '17', '25', '2', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '20', '29', '24', '4']","['11', '18', '16', '8', '1', '19', '5', '28', '10', '23', '26', '15', '17', '25', '2', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['20', '22', '24', '3', '30']",['14']
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '8', '6', '28', '18', '27', '13', '15', '25', '20', '12', '3', '9', '7', '21', '17', '24', '22', '30', '19', '14']","['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '3', '9', '7', '21', '17', '24', '22', '30', '19', '14']","['15', '4']",[]
190-2,"['27', '30', '16', '4', '26', '12', '24', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '18', '15', '8', '2', '19', '22', '29', '6', '1', '10', '28', '20', '5']","['27', '30', '16', '4', '26', '12', '24', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '6', '1', '10', '28', '20']","['1', '10', '11', '12', '14', '15', '17', '20', '22', '24', '25', '26', '27', '28', '30', '7', '8', '9']","['2', '2', '2', '2', '29']"
416-1,"['23', '14', '6', '11', '18', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '27', '1', '26', '17', '21', '12', '30', '16', '8', '24', '25', '3', '13', '19']","['23', '14', '6', '11', '18', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '1', '26', '21', '12', '30', '16', '8', '24', '25', '3', '13']","['20', '8']",[]
476-2,"['17', '15', '7', '19', '8', '5', '12', '4', '16', '27', '11', '13', '22', '2', '1', '25', '18', '28', '20', '3', '24', '9', '30', '29', '23', '26', '21', '10', '6', '14']","['17', '7', '19', '8', '12', '4', '16', '11', '13', '22', '1', '18', '20', '24', '30', '29', '26', '21', '6']","['1', '17', '26', '30', '6', '8']","['23', '27', '9']"
476-0,"['27', '8', '18', '22', '28', '25', '20', '6', '30', '5', '13', '10', '3', '2', '21', '26', '9', '1', '17', '14', '4', '15', '16', '23', '7', '19', '29', '11', '24', '12']","['27', '18', '22', '25', '30', '5', '10', '3', '21', '26', '9', '17', '14', '15', '16', '23', '7', '19', '29', '24', '12']","['12', '15', '18', '21', '25', '27', '5', '9']","['2', '28', '4', '8']"
78-0,"['4', '5', '26', '3', '25', '28', '29', '6', '17', '20', '15', '22', '30', '21', '8', '18', '14', '13', '1', '10', '19', '11', '12', '7', '9', '23', '24', '27', '2', '16']","['5', '26', '3', '25', '28', '17', '20', '15', '22', '30', '21', '18', '14', '1', '10', '11', '12', '7', '9', '23', '24', '27', '2', '16']","['1', '10', '11', '12', '14', '15', '16', '17', '2', '20', '21', '22', '23', '24', '26', '27', '3', '30', '5', '7', '9']","['19', '4']"
787-0,"['15', '22', '20', '4', '2', '21', '10', '16', '12', '25', '17', '6', '27', '13', '28', '18', '14', '7', '23', '5', '8', '29', '19', '30', '24', '26', '1', '3', '11', '9']","['15', '22', '4', '21', '10', '12', '25', '17', '6', '27', '28', '18', '14', '23', '5', '29', '19', '30', '24', '26', '1', '3', '11']","['1', '10', '11', '12', '14', '17', '19', '21', '22', '25', '26', '28', '29', '3', '30', '4', '6']","['20', '20', '20']"
190-1,"['22', '6', '16', '18', '9', '12', '20', '13', '2', '14', '15', '25', '1', '4', '8', '10', '30', '11', '24', '28', '17', '21', '3', '19', '26', '7', '5', '27', '23', '29']","['22', '6', '16', '18', '9', '12', '20', '13', '2', '14', '15', '25', '1', '4', '8', '10', '30', '11', '24', '17', '21', '3', '19', '26', '7', '5', '27', '23', '29']","['1', '10', '12', '13', '14', '21', '24', '3', '5', '7', '9']",[]
787-2,"['28', '18', '30', '11', '25', '2', '6', '4', '9', '3', '22', '8', '5', '23', '12', '17', '27', '20', '16', '7', '10', '21', '15', '29', '1', '24', '13', '19', '26', '14']","['11', '25', '2', '4', '5', '23', '17', '27', '7', '13']","['13', '27', '4', '5']","['1', '12', '14', '16', '16', '16', '16', '20', '21', '22', '28', '29', '3', '8']"
119-2,"['20', '4', '14', '13', '3', '2', '21', '11', '7', '30', '16', '8', '28', '1', '24', '18', '12', '6', '9', '17', '15', '19', '23', '29', '27', '5', '26', '22', '10', '25']","['20', '14', '13', '3', '2', '21', '7', '30', '16', '28', '24', '18', '12', '6', '9', '15', '19', '23', '29', '27', '5', '26', '10']","['10', '12', '18', '19', '23', '26', '28', '29', '30', '6', '7', '9']","['1', '8']"
79-0,"['19', '20', '6', '12', '25', '9', '21', '2', '15', '27', '28', '18', '16', '8', '24', '4', '5', '17', '7', '1', '26', '29', '10', '13', '30', '11', '22', '3', '23', '14']","['19', '20', '6', '12', '25', '9', '21', '2', '15', '27', '28', '18', '16', '8', '24', '4', '5', '17', '7', '1', '26', '29', '10', '13', '30', '11', '22', '3', '23', '14']","['1', '19', '2', '21', '22', '24', '26', '28', '3', '4', '5']",[]
416-0,"['11', '30', '22', '5', '9', '26', '20', '15', '25', '18', '29', '14', '12', '4', '28', '3', '21', '19', '23', '8', '17', '16', '10', '1', '13', '6', '7', '2', '24', '27']","['11', '5', '9', '26', '20', '15', '25', '18', '29', '14', '12', '4', '28', '3', '21', '19', '8', '17', '16', '10', '1', '6', '7', '2', '24', '27']",['12'],[]
20-0,"['19', '26', '4', '25', '17', '16', '1', '24', '2', '23', '22', '6', '7', '3', '20', '8', '11', '29', '12', '21', '15', '18', '5', '10', '14', '30', '28', '27', '13', '9']","['19', '26', '4', '25', '17', '1', '24', '2', '23', '22', '6', '7', '3', '20', '8', '11', '29', '12', '21', '15', '18', '5', '10', '14', '30', '28', '27', '13', '9']",[],[]
732-1,"['2', '29', '4', '9', '12', '26', '14', '27', '21', '24', '19', '30', '8', '17', '15', '16', '13', '22', '3', '10', '7', '20', '18', '11', '25', '23', '1', '28', '6', '5']","['2', '9', '26', '14', '27', '30', '8', '17', '15', '16', '13', '3', '11', '25', '28', '6', '5']","['13', '15', '26', '27', '28', '30', '5']","['10', '12', '18', '19', '24']"
22-0,"['2', '6', '7', '16', '3', '13', '24', '10', '20', '29', '19', '27', '9', '12', '11', '25', '1', '5', '18', '28', '26', '14', '17', '22', '21', '15', '30', '23', '8', '4']","['2', '13', '10', '20', '27', '9', '12', '11', '25', '1', '5', '28', '26', '14', '22', '21', '15', '30', '23', '8', '4']","['10', '11', '12', '15', '21', '22', '23', '25', '28', '30', '4', '8']","['19', '24']"
79-2,"['17', '7', '15', '5', '27', '1', '2', '28', '20', '10', '6', '26', '13', '19', '14', '11', '4', '12', '8', '25', '23', '21', '3', '16', '24', '30', '22', '9', '18', '29']","['17', '7', '5', '27', '1', '2', '28', '20', '10', '6', '26', '19', '14', '11', '12', '25', '21', '16', '24', '30', '22', '9', '29']","['1', '10', '12', '16', '19', '24', '29', '6']",[]
78-1,"['23', '22', '1', '6', '21', '10', '8', '16', '29', '3', '20', '25', '18', '19', '12', '27', '11', '14', '7', '15', '30', '17', '13', '4', '26', '2', '24', '28', '5', '9']","['22', '1', '6', '21', '10', '8', '29', '3', '25', '18', '19', '12', '27', '7', '15', '13', '4', '2', '24', '28', '5', '9']","['1', '12', '13', '18', '19', '21', '22', '24', '27', '28', '29', '3', '5', '6', '7', '8', '9']","['11', '17', '20', '23']"
732-0,"['19', '10', '6', '5', '8', '3', '12', '14', '18', '15', '21', '30', '13', '25', '23', '27', '24', '4', '26', '9', '16', '29', '7', '1', '2', '22', '11', '20', '17', '28']","['19', '6', '3', '12', '18', '15', '13', '25', '4', '26', '16', '1', '11', '20', '17', '28']","['1', '11', '18', '25', '26', '4']","['10', '14', '24', '30', '7', '9']"
