sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '30', '13', '3', '10', '15', '1', '18', '9', '19', '14', '27', '8', '20', '22', '24', '6', '17', '11', '2', '29', '5', '12', '7', '25', '26', '21', '4', '23', '28']","['16', '13', '3', '10', '15', '1', '18', '9', '19', '27', '8', '20', '22', '24', '17', '2', '29', '5', '12', '7', '25', '26', '21', '4', '23', '28']",[],[]
476-1,"['13', '16', '12', '22', '20', '3', '8', '30', '18', '23', '9', '15', '24', '10', '25', '26', '21', '11', '5', '6', '29', '7', '27', '19', '28', '1', '17', '2', '14', '4']","['13', '22', '20', '3', '23', '15', '25', '26', '5', '29', '7', '27', '28', '1', '4']","['1', '13', '15', '20', '22', '23', '25', '26', '27', '29', '3', '4', '5', '7']","['10', '11', '12', '14', '16', '17', '18', '18', '19', '2', '2', '21', '24', '30', '6', '8', '9']"
119-1,"['26', '30', '8', '22', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '25', '14', '13', '29', '16', '5', '18', '6', '10', '4', '23', '15', '7', '21', '28', '20']","['26', '30', '8', '22', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '25', '14', '13', '29', '16', '5', '18', '6', '10', '4', '23', '15', '7', '21', '20']","['1', '10', '13', '14', '15', '16', '19', '20', '24', '25', '27', '29', '5', '6', '9']",[]
78-2,"['4', '14', '11', '29', '28', '5', '21', '15', '22', '25', '3', '13', '20', '30', '12', '2', '6', '17', '18', '9', '19', '16', '10', '8', '7', '24', '23', '27', '26', '1']","['14', '11', '29', '28', '5', '21', '15', '25', '3', '13', '20', '12', '2', '6', '17', '18', '9', '19', '16', '10', '8', '24', '27', '26']","['10', '11', '12', '13', '14', '15', '17', '18', '20', '21', '25', '26', '3', '5', '6', '9']",[]
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '27', '4', '29', '3', '11', '22', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '20', '17', '25', '21', '13', '16']","['10', '17', '7']",['27']
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['1', '17', '23', '25', '27', '28']",[]
125-0,"['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '23', '7', '14', '8', '19', '22', '10', '9', '2', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '20', '18', '21', '4', '26', '5', '17']","['14', '16', '18', '2', '22', '3', '6', '9']","['23', '23', '23']"
119-0,"['11', '18', '16', '1', '19', '5', '28', '25', '10', '29', '23', '26', '15', '17', '2', '14', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '20', '8', '24', '4']","['11', '18', '16', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '2', '14', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['19', '26', '27']",[]
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']",['27'],[]
190-2,"['27', '30', '16', '26', '29', '12', '24', '25', '5', '11', '3', '13', '7', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '4', '6', '1', '10', '28', '18', '20']","['27', '30', '16', '26', '29', '12', '24', '5', '11', '3', '13', '7', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '21', '22', '23', '27', '28', '29', '3', '30', '5', '6', '7', '8', '9']","['25', '4']"
