sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '13', '10', '15', '1', '18', '9', '19', '14', '30', '27', '8', '20', '6', '3', '21', '22', '17', '4', '2', '29', '5', '12', '7', '25', '26', '24', '11', '23', '28']","['16', '13', '10', '15', '1', '18', '9', '19', '30', '27', '8', '20', '6', '22', '17', '2', '29', '5', '12', '7', '25', '26', '11', '23', '28']",[],[]
476-1,"['13', '16', '12', '20', '3', '14', '18', '9', '24', '10', '28', '1', '25', '22', '4', '21', '11', '5', '6', '29', '7', '27', '23', '19', '15', '8', '30', '26', '17', '2']","['13', '14', '25', '29', '7', '27', '8', '30']","['13', '14', '25', '27', '29', '30', '7', '8']","['1', '10', '11', '12', '15', '16', '17', '17', '18', '19', '2', '20', '21', '22', '23', '24', '26', '28', '3', '3', '4', '5', '6', '9']"
119-1,"['26', '30', '8', '22', '28', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '25', '14', '13', '29', '16', '5', '18', '6', '10', '4', '23', '15', '7', '21', '20']","['26', '30', '8', '22', '28', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '25', '14', '13', '29', '16', '5', '18', '6', '10', '4', '23', '15', '7', '21', '20']","['10', '11', '13', '16', '17', '19', '2', '22', '27', '29', '7']",[]
78-2,"['4', '2', '29', '28', '13', '22', '8', '1', '5', '20', '21', '7', '3', '12', '6', '17', '18', '9', '19', '14', '11', '10', '23', '15', '25', '24', '16', '27', '26', '30']","['29', '28', '22', '1', '5', '21', '7', '3', '12', '6', '17', '18', '9', '19', '10', '23', '24', '27', '26', '30']","['1', '10', '12', '17', '18', '19', '22', '27', '28', '29', '3', '30', '5', '6', '7', '9']","['13', '13', '25']"
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['13', '14', '16', '18', '2', '24', '25', '26', '29', '6', '8']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['11', '13', '14', '19', '20', '21', '22', '24', '30']",[]
125-0,"['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['10', '14', '15', '4', '9']",[]
119-0,"['11', '16', '8', '1', '5', '28', '10', '29', '19', '23', '26', '7', '15', '17', '25', '2', '18', '14', '13', '9', '6', '12', '27', '30', '3', '22', '21', '20', '24', '4']","['11', '16', '8', '1', '5', '28', '10', '29', '23', '26', '15', '17', '25', '2', '14', '13', '9', '6', '12', '27', '30', '3', '22', '21', '20', '24', '4']",[],[]
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '12', '10', '11', '30', '18', '27', '13', '15', '25', '20', '3', '9', '7', '21', '6', '17', '24', '22', '19', '28', '8', '14']","['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '18', '27', '13', '15', '25', '20', '3', '9', '7', '21', '6', '17', '24', '22', '19', '8', '14']",['25'],[]
190-2,"['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['1', '10', '12', '13', '15', '16', '18', '19', '2', '20', '21', '22', '23', '24', '26', '27', '28', '29', '3', '30', '4', '5', '6', '7', '8', '9']",[]
416-1,"['27', '23', '19', '14', '6', '11', '18', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '12', '1', '26', '21', '17', '30', '16', '8', '24', '25', '3', '13']","['27', '23', '19', '14', '6', '11', '18', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '1', '26', '21', '17', '30', '16', '8', '24', '25', '3', '13']",['10'],[]
476-2,"['17', '9', '15', '13', '5', '2', '27', '12', '4', '16', '19', '8', '22', '1', '7', '18', '10', '11', '25', '3', '28', '20', '24', '21', '30', '29', '23', '26', '6', '14']","['17', '9', '15', '2', '27', '12', '4', '16', '22', '1', '18', '10', '25', '3', '28', '20', '24', '30', '29', '26', '6']","['10', '16', '20', '22', '24', '25', '27', '29', '3', '4']","['14', '19', '5', '7', '7']"
476-0,"['3', '27', '19', '8', '9', '28', '4', '26', '6', '20', '17', '5', '29', '13', '12', '2', '21', '18', '1', '22', '10', '14', '23', '25', '15', '16', '7', '11', '30', '24']","['27', '4', '6', '5', '21', '14', '15', '7', '24']","['15', '24', '4', '6', '7']","['11', '12', '13', '13', '19', '2', '20', '20', '22', '23', '25', '26', '28', '30', '8', '8', '9']"
