sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['13', '3', '10', '15', '1', '18', '9', '19', '30', '8', '20', '6', '22', '16', '24', '28', '14', '17', '27', '7', '2', '29', '5', '12', '25', '26', '21', '11', '4', '23']","['13', '3', '10', '15', '1', '18', '9', '19', '30', '8', '20', '6', '22', '24', '14', '17', '2', '29', '5', '12', '25', '26', '21', '11', '4', '23']",[],[]
476-1,"['16', '17', '20', '3', '13', '14', '21', '25', '18', '23', '7', '9', '24', '10', '28', '19', '12', '22', '4', '6', '11', '5', '29', '27', '15', '8', '30', '1', '26', '2']","['17', '14', '21', '23', '19', '12', '6', '29', '27', '8', '30', '1']","['1', '12', '14', '17', '19', '21', '23', '29', '30', '6', '8']","['10', '11', '13', '15', '16', '18', '2', '20', '22', '24', '25', '26', '28', '3', '4', '5', '7', '9']"
119-1,"['26', '30', '8', '15', '22', '28', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '25', '14', '13', '29', '16', '5', '23', '18', '6', '10', '4', '7', '21', '20']","['26', '30', '8', '22', '28', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '25', '14', '13', '29', '16', '5', '18', '6', '10', '4', '7', '21', '20']","['10', '12', '13', '19', '2', '20', '29', '3', '30', '8', '9']","['23', '23', '23']"
78-2,"['14', '4', '11', '29', '22', '1', '21', '15', '7', '5', '3', '13', '28', '20', '9', '12', '2', '6', '17', '18', '19', '16', '10', '8', '26', '23', '25', '24', '27', '30']","['14', '4', '11', '29', '22', '1', '21', '15', '7', '3', '13', '20', '12', '2', '6', '17', '18', '19', '16', '10', '8', '23', '24', '27', '30']","['10', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '23', '24', '27', '29', '3', '4', '6', '7', '8']",[]
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '26', '3', '30', '5', '6', '8']",[]
125-1,"['24', '28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '6', '22']","['10', '15', '16', '18', '2', '23', '28']",['24']
125-0,"['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['25', '27', '3', '30', '5', '8', '9']",[]
119-0,"['11', '18', '16', '8', '1', '5', '28', '10', '29', '19', '6', '23', '26', '15', '17', '25', '2', '14', '13', '9', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['11', '18', '16', '8', '1', '5', '28', '10', '29', '23', '26', '15', '17', '25', '2', '14', '13', '9', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['17', '2', '20']",[]
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '20', '10', '11', '28', '18', '27', '13', '15', '25', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['10', '13', '14', '16', '19', '21', '25']","['20', '20']"
190-2,"['27', '22', '16', '30', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '18', '15', '8', '19', '2', '6', '1', '10', '28', '20']","['27', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '2', '6', '1', '10', '28', '20']","['1', '10', '11', '13', '14', '15', '16', '17', '19', '2', '20', '21', '23', '24', '25', '26', '27', '28', '29', '3', '4', '5', '6', '7', '8', '9']",['30']
416-1,"['27', '23', '19', '16', '14', '6', '11', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '1', '26', '18', '21', '12', '17', '30', '8', '24', '25', '3', '13']","['27', '23', '19', '14', '6', '11', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '1', '26', '21', '12', '17', '30', '8', '24', '25', '3', '13']","['1', '20']",[]
476-2,"['14', '17', '7', '9', '19', '15', '8', '2', '27', '12', '4', '16', '24', '11', '13', '22', '1', '18', '10', '25', '3', '28', '20', '23', '30', '5', '29', '26', '21', '6']","['14', '17', '7', '9', '19', '15', '8', '2', '27', '12', '4', '16', '11', '13', '22', '1', '18', '10', '25', '3', '28', '20', '23', '30', '5', '29', '26', '21', '6']","['1', '11', '15', '4', '6', '7']",[]
476-0,"['27', '8', '22', '28', '25', '4', '6', '20', '5', '10', '12', '3', '21', '26', '9', '18', '1', '17', '14', '11', '16', '23', '7', '19', '29', '30', '13', '24', '15', '2']","['27', '22', '25', '4', '6', '5', '10', '3', '21', '26', '9', '17', '14', '11', '16', '23', '7', '19', '29', '13', '24', '2']","['13', '14', '21', '4']","['1', '8']"
78-0,"['2', '5', '26', '3', '25', '28', '17', '20', '15', '22', '30', '21', '8', '18', '14', '13', '19', '1', '11', '6', '23', '10', '12', '7', '4', '9', '16', '24', '27', '29']","['5', '26', '3', '25', '20', '15', '22', '30', '21', '18', '14', '11', '6', '12', '7', '4', '9', '24', '27', '29']","['11', '12', '14', '18', '20', '21', '22', '24', '26', '27', '29', '5', '6', '7', '9']","['13', '17', '17', '8']"
787-0,"['15', '4', '2', '19', '10', '5', '16', '12', '14', '22', '25', '17', '6', '21', '27', '13', '9', '28', '18', '23', '7', '8', '29', '30', '24', '26', '1', '3', '20', '11']","['15', '4', '10', '12', '25', '17', '6', '27', '13', '9', '28', '18', '23', '7', '29', '30', '24', '26', '1', '3', '20', '11']","['1', '12', '13', '15', '17', '18', '20', '23', '24', '25', '26', '28', '3', '30', '4', '6', '7', '9']","['2', '2', '2', '22', '5', '5', '5', '8', '8', '8']"
190-1,"['22', '6', '16', '18', '9', '12', '20', '13', '2', '14', '28', '15', '25', '1', '4', '8', '10', '30', '11', '24', '17', '21', '3', '19', '26', '7', '5', '27', '23', '29']","['22', '6', '16', '18', '9', '12', '20', '13', '2', '14', '28', '15', '25', '1', '4', '8', '10', '30', '11', '24', '17', '21', '3', '19', '26', '7', '5', '27', '23', '29']","['11', '12', '14', '15', '17', '2', '22', '23', '25', '26', '27', '28', '29', '3', '30', '7', '8', '9']",[]
787-2,"['11', '25', '2', '15', '6', '3', '4', '18', '29', '14', '23', '10', '12', '17', '27', '30', '26', '20', '5', '7', '9', '8', '1', '21', '24', '16', '19', '13', '28', '22']","['11', '25', '2', '15', '3', '4', '18', '29', '14', '23', '10', '17', '27', '30', '26', '7', '9', '8', '21', '16', '19', '13', '28', '22']","['13', '16', '17', '18', '22', '23', '26']",[]
119-2,"['20', '4', '14', '13', '3', '2', '21', '7', '30', '17', '16', '11', '28', '1', '24', '18', '12', '6', '9', '22', '15', '19', '23', '29', '27', '5', '26', '10', '25', '8']","['20', '14', '13', '3', '2', '21', '7', '30', '17', '16', '11', '28', '1', '24', '18', '12', '6', '9', '22', '15', '19', '23', '29', '27', '5', '26', '10', '8']","['10', '11', '13', '14', '17', '2', '21', '22', '26', '28', '30', '7']","['25', '4', '4']"
79-0,"['19', '20', '12', '25', '9', '21', '2', '15', '27', '28', '18', '16', '8', '24', '4', '5', '17', '7', '1', '6', '26', '29', '10', '13', '30', '11', '22', '3', '23', '14']","['19', '20', '12', '25', '9', '21', '2', '15', '27', '28', '18', '16', '8', '24', '4', '5', '17', '7', '1', '26', '29', '10', '13', '30', '11', '22', '3', '23', '14']","['15', '25', '29', '7', '8']",['6']
416-0,"['11', '30', '21', '5', '13', '9', '26', '20', '15', '12', '25', '18', '22', '29', '14', '4', '28', '3', '19', '23', '8', '17', '16', '10', '1', '6', '7', '2', '24', '27']","['11', '30', '5', '13', '9', '26', '20', '15', '25', '18', '22', '29', '14', '4', '28', '3', '19', '23', '8', '17', '16', '10', '1', '6', '7', '2', '24', '27']",[],[]
20-0,"['19', '26', '4', '25', '17', '1', '24', '2', '23', '22', '6', '7', '3', '20', '8', '11', '29', '12', '21', '15', '18', '5', '16', '10', '14', '30', '28', '27', '13', '9']","['19', '26', '4', '25', '17', '1', '24', '2', '23', '22', '6', '7', '3', '20', '8', '11', '29', '12', '21', '15', '18', '5', '16', '10', '14', '30', '28', '27', '13', '9']",[],[]
732-1,"['30', '29', '4', '9', '12', '23', '14', '11', '27', '7', '21', '8', '15', '16', '13', '22', '24', '10', '3', '19', '17', '18', '25', '20', '1', '28', '2', '6', '26', '5']","['9', '23', '14', '7', '21', '8', '15', '16', '13', '24', '19', '18', '25', '20', '28', '6', '5']","['13', '15', '16', '21', '23']","['2', '26', '29', '3']"
22-0,"['2', '16', '3', '13', '24', '10', '20', '22', '1', '17', '7', '27', '9', '25', '12', '11', '6', '19', '5', '18', '28', '26', '14', '29', '21', '15', '30', '23', '8', '4']","['2', '13', '10', '20', '17', '7', '27', '9', '12', '11', '6', '19', '5', '28', '26', '14', '29', '21', '15', '30', '23', '8', '4']","['11', '12', '13', '14', '19', '20', '23', '27', '4', '6', '7', '8', '9']",['22']
