sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '30', '13', '3', '10', '15', '1', '9', '19', '14', '18', '27', '20', '6', '21', '22', '24', '17', '8', '2', '29', '5', '12', '7', '25', '26', '11', '4', '23', '28']","['16', '13', '3', '10', '15', '1', '9', '19', '27', '20', '6', '22', '24', '17', '2', '29', '5', '12', '7', '25', '26', '11', '4', '23', '28']",[],[]
476-1,"['29', '20', '3', '13', '18', '23', '7', '9', '27', '24', '10', '28', '1', '25', '12', '26', '22', '4', '21', '11', '5', '6', '16', '19', '15', '8', '30', '17', '2', '14']","['20', '3', '23', '25', '12', '26', '5', '16', '8', '30']","['12', '16', '20', '23', '25', '26', '3', '30', '5', '8']","['1', '10', '11', '13', '14', '15', '17', '18', '18', '19', '2', '21', '22', '24', '27', '28', '29', '4', '4', '6', '7', '9']"
119-1,"['30', '8', '22', '17', '12', '3', '24', '1', '11', '27', '9', '26', '25', '14', '13', '29', '16', '5', '18', '19', '6', '10', '4', '2', '23', '15', '7', '21', '28', '20']","['30', '8', '22', '17', '12', '24', '1', '11', '27', '9', '25', '14', '13', '29', '16', '5', '18', '6', '4', '23', '15', '7', '21', '20']","['1', '11', '15', '16', '18', '21', '23', '30', '4']","['26', '3']"
78-2,"['4', '2', '11', '29', '21', '13', '8', '5', '20', '15', '7', '22', '25', '17', '28', '9', '12', '6', '18', '19', '14', '10', '24', '16', '3', '23', '27', '26', '30', '1']","['11', '29', '5', '15', '7', '25', '6', '18', '19', '10', '24', '27', '26', '30']","['11', '15', '18', '19', '24', '25', '26', '27', '29', '30', '5', '7']","['2', '2', '3', '3']"
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '10', '11', '16', '2', '29']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '13', '10', '4', '18', '19', '25', '11', '21', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '27', '7', '24', '6', '22']","['1', '11', '15', '17', '19', '28', '3', '30', '4', '7', '8', '9']",['13']
125-0,"['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17', '8']","['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['1', '2', '21']",[]
119-0,"['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '6', '23', '26', '15', '17', '25', '2', '14', '13', '9', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '25', '2', '14', '13', '9', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['15', '29', '3']",[]
787-1,"['26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '2', '25', '20', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']",['9'],[]
190-2,"['30', '27', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '23', '17', '21', '15', '8', '19', '22', '2', '9', '6', '1', '10', '28', '18', '20']","['30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['1', '12', '13', '16', '20', '23', '24', '25', '26', '28', '29', '4', '5', '7']","['9', '9', '9']"
416-1,"['27', '23', '6', '11', '18', '2', '10', '15', '5', '4', '22', '9', '14', '7', '29', '28', '20', '12', '1', '26', '21', '13', '17', '30', '16', '8', '24', '25', '3', '19']","['27', '23', '6', '11', '18', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '1', '26', '21', '17', '30', '16', '8', '24', '25', '3']",[],[]
476-2,"['30', '17', '15', '7', '9', '19', '13', '8', '2', '27', '12', '4', '16', '22', '1', '25', '18', '10', '11', '3', '28', '20', '23', '26', '24', '21', '5', '29', '6', '14']","['7', '9', '19', '8', '2', '27', '4', '16', '22', '1', '18', '10', '3', '28', '20', '23', '24', '5', '29', '6']","['1', '18', '2', '27', '28', '29', '5', '6', '7', '9']","['11', '14', '30']"
476-0,"['3', '14', '27', '8', '1', '9', '26', '6', '20', '30', '21', '12', '28', '18', '24', '22', '10', '17', '25', '4', '5', '16', '23', '7', '19', '29', '11', '13', '15', '2']","['1', '6', '30', '28', '17', '23', '7', '19', '29', '13', '2']","['1', '17', '19', '23', '28', '29', '30', '6', '7']","['10', '11', '14', '14', '15', '15', '16', '20', '22', '24', '26', '26', '27', '4', '5', '5', '9']"
