sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '13', '10', '26', '15', '1', '18', '12', '9', '19', '30', '27', '8', '20', '6', '3', '22', '24', '14', '17', '2', '29', '5', '7', '25', '21', '11', '4', '23', '28']","['16', '13', '10', '15', '1', '18', '9', '19', '30', '27', '8', '20', '6', '22', '24', '14', '2', '29', '5', '7', '25', '21', '11', '4', '23', '28']",['1'],[]
476-1,"['13', '17', '22', '20', '29', '3', '10', '8', '24', '14', '30', '2', '18', '9', '15', '25', '12', '4', '21', '6', '11', '5', '7', '27', '23', '16', '19', '28', '1', '26']","['13', '17', '22', '10', '24', '14', '2', '15', '25', '12', '6', '5', '7', '27', '16', '28', '1']","['1', '10', '12', '13', '14', '15', '16', '17', '2', '22', '24', '25', '27', '28', '5', '6', '7']","['11', '18', '19', '20', '21', '23', '26', '29', '29', '3', '30', '4', '8', '9']"
119-1,"['26', '30', '8', '22', '28', '17', '18', '27', '12', '3', '24', '2', '1', '19', '11', '9', '25', '14', '13', '29', '5', '6', '10', '4', '23', '15', '7', '21', '20', '16']","['26', '30', '8', '22', '28', '17', '12', '3', '24', '2', '1', '19', '11', '9', '25', '14', '13', '29', '5', '6', '10', '4', '23', '15', '7', '21', '20']","['1', '10', '12', '13', '14', '15', '17', '22', '23', '25', '26', '28', '29', '4', '5', '7', '8', '9']",[]
78-2,"['4', '19', '29', '21', '22', '8', '1', '5', '7', '27', '25', '17', '3', '13', '28', '20', '2', '12', '6', '18', '9', '14', '11', '16', '10', '26', '15', '24', '23', '30']","['29', '22', '1', '5', '7', '25', '3', '13', '20', '2', '6', '9', '16', '10', '24', '30']","['1', '13', '22', '25', '3']",['27']
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['12', '15', '17', '18', '19', '26', '29', '3']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '30', '18', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['11', '12', '16', '2', '24', '26', '29', '30', '4']",['18']
125-0,"['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['15', '16', '21', '26', '8']",[]
119-0,"['11', '18', '16', '8', '1', '19', '5', '28', '25', '10', '29', '23', '26', '15', '17', '2', '14', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '2', '14', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['17', '20', '23', '27']",[]
787-1,"['26', '23', '4', '1', '29', '16', '5', '20', '3', '10', '11', '8', '28', '18', '27', '13', '15', '2', '25', '12', '9', '7', '21', '6', '17', '24', '22', '30', '19', '14']","['26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '12', '9', '7', '21', '6', '17', '24', '22', '30', '19', '14']",['26'],[]
190-2,"['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '2', '19', '22', '6', '1', '10', '28', '18', '20']","['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '6', '1', '10', '28', '18', '20']","['1', '10', '12', '13', '15', '20', '23', '26', '29', '8']","['2', '2', '2', '2']"
