sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '13', '10', '15', '18', '19', '30', '27', '8', '6', '3', '20', '21', '22', '14', '17', '7', '29', '23', '9', '2', '5', '12', '25', '26', '1', '24', '11', '4', '28']","['16', '13', '10', '15', '18', '19', '30', '27', '8', '6', '22', '14', '17', '5', '12', '25', '26', '11', '4', '28']",[],[]
476-1,"['13', '17', '12', '20', '3', '10', '14', '21', '25', '2', '9', '15', '27', '11', '24', '1', '19', '22', '4', '5', '6', '29', '7', '18', '23', '16', '8', '28', '30', '26']","['13', '17', '10', '14', '21', '2', '15', '11', '19', '29', '7', '18', '16', '8', '28', '30']","['10', '11', '13', '14', '15', '16', '17', '18', '19', '2', '21', '28', '29', '30', '7', '8']","['1', '12', '20', '22', '23', '24', '25', '26', '27', '3', '4', '5', '6', '9']"
119-1,"['17', '30', '18', '3', '24', '12', '11', '27', '26', '25', '14', '13', '5', '29', '16', '7', '9', '21', '19', '8', '10', '20', '4', '2', '23', '1', '15', '22', '6', '28']","['30', '3', '24', '11', '27', '25', '14', '13', '29', '16', '4', '23', '15']","['14', '16', '27', '29', '3']","['17', '2', '21', '28', '9', '9']"
78-2,"['4', '29', '22', '8', '5', '20', '21', '15', '7', '13', '28', '9', '12', '2', '6', '17', '18', '19', '14', '11', '10', '23', '25', '24', '16', '3', '27', '26', '30', '1']","['4', '29', '22', '5', '21', '15', '7', '13', '12', '2', '6', '17', '19', '10', '23', '24', '27', '26', '30']","['10', '12', '13', '15', '2', '21', '27', '30', '4', '5', '6']","['14', '8']"
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '16', '18', '2', '21', '23', '27', '30']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['1', '10', '2', '22', '27']",[]
125-0,"['6', '16', '30', '25', '29', '28', '3', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['10', '15', '22', '25']",[]
119-0,"['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '26', '15', '17', '25', '2', '14', '13', '9', '6', '12', '27', '23', '30', '3', '7', '22', '21', '20', '24', '4']","['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '26', '15', '17', '25', '2', '14', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['1', '10', '3', '9']",[]
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '12', '10', '11', '28', '18', '27', '13', '15', '25', '20', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['2', '26', '4', '1', '29', '16', '5', '10', '28', '18', '27', '13', '15', '25', '20', '3', '9', '21', '6', '17', '24', '22', '30', '19', '8', '14']",[],[]
190-2,"['27', '30', '16', '4', '26', '14', '29', '12', '24', '1', '5', '11', '7', '25', '13', '23', '17', '21', '19', '15', '8', '22', '3', '2', '9', '6', '10', '28', '18', '20']","['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '7', '25', '23', '17', '21', '15', '8', '22', '2', '6', '10', '28', '18', '20']","['11', '15', '17', '2', '22', '23', '24', '25', '26', '29', '30', '4', '7', '8']","['1', '3', '3', '3', '9']"
