sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '13', '3', '10', '15', '9', '30', '18', '27', '20', '6', '22', '24', '28', '14', '19', '17', '8', '2', '29', '5', '12', '7', '25', '26', '1', '21', '11', '4', '23']","['16', '13', '3', '10', '15', '9', '30', '27', '20', '6', '22', '24', '14', '17', '2', '29', '5', '12', '7', '25', '26', '21', '11', '4', '23']",[],[]
476-1,"['16', '17', '12', '20', '3', '8', '24', '13', '30', '21', '25', '7', '9', '27', '10', '28', '22', '11', '5', '6', '29', '18', '23', '19', '15', '1', '26', '2', '14', '4']","['17', '20', '3', '24', '21', '29', '18', '1', '4']","['1', '17', '18', '20', '21', '24', '29', '3', '4']","['10', '11', '12', '13', '14', '15', '16', '19', '2', '22', '23', '25', '26', '27', '28', '30', '5', '6', '7', '8', '9']"
119-1,"['30', '8', '24', '28', '17', '27', '12', '3', '14', '2', '1', '19', '11', '9', '26', '25', '13', '4', '29', '16', '5', '23', '7', '18', '6', '10', '15', '22', '21', '20']","['30', '8', '28', '17', '12', '3', '2', '1', '19', '11', '9', '25', '13', '29', '16', '5', '18', '6', '10', '15', '21', '20']","['1', '10', '11', '13', '16', '17', '18', '21', '28', '30', '5', '8', '9']","['22', '23', '24']"
78-2,"['4', '14', '29', '28', '13', '24', '1', '5', '20', '21', '7', '22', '25', '30', '12', '2', '6', '17', '18', '9', '19', '11', '10', '8', '23', '15', '16', '3', '27', '26']","['14', '29', '28', '1', '5', '21', '7', '25', '12', '2', '6', '17', '9', '19', '10', '8', '23', '27', '26']","['10', '12', '14', '17', '19', '23', '25', '26', '28', '29', '5', '6', '7', '8', '9']",[]
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '27', '4', '29', '3', '22', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['13', '17', '21', '24', '28', '3', '5']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '30', '18', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['13', '15', '17', '19', '22', '24', '26', '29', '3', '4', '6', '9']",['18']
125-0,"['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '1', '15', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['11', '2', '22', '9']",['15']
119-0,"['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '25', '2', '14', '13', '20', '9', '6', '12', '27', '30', '3', '7', '22', '21', '24', '4']","['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '25', '2', '14', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '24', '4']","['16', '21']",[]
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '3', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['18', '25', '29']",[]
190-2,"['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '18', '15', '8', '19', '22', '2', '6', '1', '10', '28', '20']","['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '20']","['1', '11', '12', '13', '14', '15', '19', '2', '20', '22', '23', '25', '26', '28', '29', '3', '30', '6', '7', '8']",[]
