sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '30', '13', '15', '1', '9', '14', '18', '27', '8', '6', '3', '20', '25', '19', '17', '5', '2', '29', '22', '10', '12', '7', '26', '24', '21', '11', '4', '23', '28']","['16', '13', '15', '1', '9', '27', '8', '6', '17', '2', '29', '12', '7', '26', '21', '11', '4', '23', '28']",[],[]
476-1,"['13', '16', '17', '12', '22', '20', '3', '10', '24', '9', '28', '1', '25', '26', '21', '11', '5', '6', '29', '7', '18', '27', '23', '19', '15', '8', '30', '2', '14', '4']","['13', '17', '22', '20', '10', '24', '9', '25', '26', '5', '29', '7', '18', '27', '8', '30', '4']","['10', '13', '17', '18', '20', '22', '24', '25', '26', '27', '29', '30', '4', '5', '7', '8', '9']","['1', '11', '12', '14', '16', '19', '2', '21', '23', '28', '3', '6']"
119-1,"['30', '8', '15', '22', '17', '12', '3', '24', '2', '1', '19', '11', '27', '13', '9', '26', '14', '4', '29', '16', '5', '18', '6', '10', '20', '23', '7', '21', '28', '25']","['30', '8', '22', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '14', '29', '16', '5', '18', '6', '10', '23', '7', '21']","['1', '10', '11', '17', '18', '19', '23', '24', '27', '29', '3', '30', '8']","['25', '4']"
78-2,"['4', '14', '29', '13', '22', '8', '24', '21', '15', '7', '5', '25', '17', '3', '28', '20', '30', '12', '2', '18', '9', '19', '10', '11', '16', '26', '23', '6', '27', '1']","['14', '22', '21', '15', '7', '25', '3', '20', '12', '2', '18', '9', '19', '16', '23', '27']","['12', '15', '16', '18', '19', '2', '20', '21', '22', '23', '27', '3', '7']",['29']
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['2', '23', '5']",[]
125-1,"['28', '8', '14', '17', '3', '20', '5', '16', '2', '30', '12', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['11', '14', '16', '17', '2', '21', '24', '27', '29', '4', '6']",[]
125-0,"['6', '1', '16', '28', '3', '30', '11', '27', '12', '13', '24', '15', '29', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '25', '5', '17']","['6', '16', '28', '3', '30', '11', '27', '12', '13', '24', '15', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['12', '22', '27', '6', '8', '9']",['25']
119-0,"['18', '16', '10', '8', '1', '19', '5', '11', '29', '26', '7', '15', '17', '25', '2', '14', '13', '9', '6', '12', '27', '23', '30', '3', '28', '22', '21', '20', '24', '4']","['18', '16', '8', '1', '19', '5', '29', '26', '15', '17', '25', '2', '14', '13', '9', '6', '12', '27', '30', '3', '22', '21', '20', '24', '4']","['1', '14', '16', '18', '19', '20', '26', '4', '6', '9']","['23', '23', '28']"
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '14', '8']","['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8']","['10', '20']",[]
190-2,"['30', '27', '16', '4', '26', '29', '12', '24', '5', '11', '8', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['1', '10', '11', '15', '16', '17', '18', '19', '21', '23', '24', '25', '26', '29', '3', '30', '4', '5', '6', '7', '9']",[]
416-1,"['27', '23', '19', '16', '6', '11', '18', '2', '10', '15', '5', '4', '22', '9', '14', '7', '29', '28', '20', '1', '26', '21', '12', '17', '30', '8', '24', '25', '3', '13']","['27', '23', '19', '6', '11', '18', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '1', '26', '21', '12', '17', '30', '8', '24', '25', '3', '13']",[],[]
476-2,"['30', '14', '6', '17', '15', '9', '19', '8', '1', '5', '2', '27', '12', '29', '4', '16', '13', '22', '7', '18', '10', '11', '28', '25', '3', '20', '23', '24', '26', '21']","['14', '9', '19', '8', '2', '27', '12', '4', '16', '13', '22', '18', '10', '25', '3', '20', '23', '24', '26', '21']","['13', '27', '3']","['30', '5']"
476-0,"['14', '19', '27', '18', '1', '9', '28', '25', '26', '6', '30', '12', '3', '21', '22', '10', '17', '8', '7', '4', '11', '5', '16', '23', '29', '13', '24', '15', '20', '2']","['18', '1', '25', '6', '30', '3', '21', '17', '8', '11', '16', '23', '29', '13', '24', '20', '2']","['11', '18', '2', '23', '29', '30', '8']","['10', '22', '26', '27', '7', '9']"
