sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['8', '18', '16', '10', '9', '26', '1', '28', '23', '27', '29', '19', '22', '17', '11', '4', '5', '24', '12', '21', '30', '15', '7', '20', '6', '2', '13', '14', '25', '3']","['18', '16', '10', '26', '28', '27', '29', '19', '17', '11', '4', '5', '24', '12', '21', '7', '20', '6', '2', '13', '14', '25', '3']",[],[]
476-1,"['5', '22', '11', '8', '10', '14', '17', '3', '12', '18', '15', '7', '16', '30', '2', '20', '9', '28', '23', '4', '1', '21', '19', '27', '29', '24', '13', '6', '25', '26']","['5', '22', '11', '8', '10', '14', '17', '3', '12', '15', '7', '16', '30', '20', '9', '28', '23', '4', '1', '21', '19', '27', '29', '24', '13', '25', '26']","['1', '10', '11', '12', '13', '14', '15', '16', '17', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '4', '5', '7', '8', '9']","['18', '2', '2', '2', '6']"
119-1,"['13', '10', '29', '27', '2', '15', '22', '1', '19', '12', '17', '4', '14', '26', '28', '23', '24', '8', '21', '16', '30', '18', '25', '11', '7', '20', '9', '6', '3', '5']","['13', '10', '29', '27', '2', '15', '22', '1', '19', '12', '17', '4', '14', '26', '28', '23', '24', '8', '21', '16', '18', '11', '7', '20', '9', '6', '3', '5']","['10', '11', '12', '15', '19', '20', '22', '23', '29', '4', '5']",[]
78-2,"['8', '7', '29', '28', '6', '24', '25', '15', '18', '27', '17', '21', '12', '9', '1', '11', '26', '10', '5', '23', '4', '13', '3', '20', '30', '19', '16', '22', '2', '14']","['8', '7', '29', '28', '6', '24', '25', '15', '27', '17', '21', '12', '1', '11', '26', '10', '23', '4', '13', '3', '20', '30', '19', '16', '14']","['1', '11', '13', '15', '17', '19', '21', '23', '25', '27', '28', '6', '8']",['5']
125-2,"['27', '18', '25', '17', '15', '2', '16', '26', '29', '4', '28', '10', '22', '9', '13', '7', '30', '11', '19', '24', '20', '21', '6', '14', '23', '8', '3', '1', '12', '5']","['27', '18', '25', '17', '15', '2', '16', '26', '29', '4', '28', '10', '22', '9', '13', '7', '30', '11', '19', '24', '20', '21', '6', '14', '23', '8', '3', '1', '12', '5']","['11', '15', '2', '23', '24', '25', '4', '6', '7']",[]
125-1,"['29', '13', '5', '8', '12', '20', '10', '4', '30', '19', '18', '24', '6', '17', '9', '2', '1', '14', '16', '26', '3', '15', '28', '22', '23', '11', '27', '7', '25', '21']","['29', '13', '5', '8', '12', '20', '10', '4', '30', '19', '18', '24', '6', '17', '9', '2', '1', '16', '26', '3', '15', '28', '22', '23', '11', '27', '7', '25', '21']","['10', '11', '13', '15', '17', '20', '21', '23', '25', '26', '27', '28', '29', '3', '4', '5']",[]
125-0,"['13', '21', '19', '11', '17', '24', '5', '4', '10', '14', '18', '27', '22', '8', '2', '20', '16', '7', '23', '25', '9', '6', '30', '12', '1', '29', '28', '3', '26', '15']","['13', '21', '19', '11', '17', '5', '4', '10', '14', '18', '27', '22', '8', '2', '20', '16', '7', '23', '25', '9', '6', '30', '12', '1', '29', '28', '3', '26', '15']","['10', '20', '22', '29', '3', '9']",[]
119-0,"['30', '21', '1', '10', '11', '29', '23', '13', '20', '26', '28', '5', '22', '4', '16', '15', '9', '3', '27', '19', '7', '12', '17', '24', '2', '18', '6', '25', '8', '14']","['30', '21', '1', '10', '11', '29', '23', '13', '20', '26', '28', '5', '22', '4', '16', '15', '9', '3', '27', '19', '7', '12', '17', '24', '2', '18', '6', '25', '8', '14']",[],[]
787-1,"['26', '10', '19', '22', '12', '8', '9', '14', '13', '21', '24', '5', '11', '3', '17', '18', '27', '16', '4', '6', '23', '30', '2', '7', '25', '28', '20', '1', '29', '15']","['26', '10', '19', '22', '12', '8', '9', '14', '13', '21', '24', '5', '11', '3', '17', '18', '27', '16', '4', '6', '23', '30', '2', '7', '25', '28', '20', '1', '29', '15']",['23'],[]
190-2,"['7', '16', '29', '14', '30', '3', '1', '20', '23', '22', '5', '9', '12', '10', '15', '26', '2', '4', '19', '27', '17', '28', '11', '25', '13', '8', '21', '24', '6', '18']","['7', '16', '29', '14', '30', '3', '20', '23', '22', '5', '12', '15', '26', '2', '4', '19', '27', '17', '28', '11', '25', '13', '21', '24', '6', '18']","['11', '12', '13', '14', '15', '16', '17', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '29', '3', '30', '4', '5', '6', '7']","['10', '8', '8', '8', '9']"
