sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['18', '16', '10', '6', '28', '23', '7', '29', '2', '19', '17', '21', '11', '4', '5', '24', '12', '22', '30', '15', '1', '27', '20', '8', '13', '14', '25', '3', '26', '9']","['18', '16', '10', '28', '29', '19', '17', '11', '4', '5', '24', '12', '22', '1', '20', '8', '13', '14', '25', '3', '9']",[],[]
476-1,"['5', '22', '11', '8', '10', '18', '14', '17', '3', '9', '6', '12', '15', '7', '16', '30', '2', '20', '28', '23', '4', '1', '21', '19', '27', '29', '24', '13', '25', '26']","['5', '22', '11', '8', '10', '18', '14', '17', '3', '6', '12', '15', '7', '16', '30', '2', '20', '28', '23', '4', '1', '21', '19', '27', '29', '24', '13', '25', '26']","['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '4', '5', '6', '7', '8']","['9', '9']"
119-1,"['13', '10', '29', '27', '2', '15', '22', '1', '19', '12', '17', '4', '14', '26', '28', '23', '24', '8', '21', '16', '30', '18', '11', '7', '20', '9', '6', '3', '25', '5']","['13', '10', '29', '27', '2', '15', '22', '1', '19', '12', '17', '4', '14', '26', '28', '23', '24', '8', '21', '16', '30', '18', '11', '7', '20', '9', '6', '3', '25', '5']","['10', '11', '13', '19', '2', '20', '24', '25', '26', '29', '30', '4', '7', '8']",[]
78-2,"['22', '2', '7', '29', '28', '6', '30', '24', '25', '10', '15', '27', '21', '12', '1', '11', '26', '23', '4', '9', '13', '18', '3', '20', '5', '19', '16', '17', '14', '8']","['22', '2', '29', '28', '6', '24', '25', '15', '27', '21', '12', '1', '11', '26', '23', '4', '9', '13', '18', '3', '20', '5', '19', '16', '14']","['1', '13', '14', '16', '20', '21', '22', '24', '25', '28', '29', '6', '9']",[]
125-2,"['27', '18', '25', '17', '15', '2', '16', '26', '29', '4', '28', '10', '22', '9', '13', '7', '30', '11', '19', '24', '20', '21', '6', '14', '23', '8', '3', '1', '12', '5']","['27', '18', '25', '17', '15', '2', '16', '26', '29', '4', '28', '10', '22', '9', '13', '7', '30', '11', '19', '24', '20', '21', '6', '14', '23', '8', '3', '1', '12', '5']","['17', '25', '27', '29', '5', '8', '9']",[]
125-1,"['29', '13', '5', '8', '12', '20', '10', '4', '30', '19', '18', '24', '6', '17', '14', '9', '2', '1', '16', '26', '3', '15', '28', '22', '23', '11', '27', '7', '25', '21']","['29', '13', '5', '8', '12', '20', '10', '4', '30', '19', '18', '24', '6', '17', '14', '9', '2', '1', '16', '26', '3', '15', '28', '22', '23', '11', '27', '7', '25', '21']","['12', '13', '14', '15', '17', '2', '26', '27', '28', '29', '3', '30', '4', '8']",[]
125-0,"['13', '21', '19', '17', '5', '4', '10', '14', '18', '27', '22', '8', '2', '20', '16', '7', '23', '25', '9', '24', '6', '30', '12', '1', '29', '28', '3', '26', '11', '15']","['13', '21', '19', '17', '5', '4', '10', '14', '18', '27', '22', '8', '2', '20', '16', '7', '23', '25', '9', '24', '6', '30', '12', '1', '29', '28', '3', '26', '15']","['19', '6', '8', '9']",['11']
119-0,"['30', '11', '21', '12', '17', '5', '1', '10', '23', '13', '20', '26', '16', '27', '15', '9', '3', '19', '7', '29', '22', '24', '4', '2', '18', '8', '6', '25', '28', '14']","['30', '21', '1', '10', '23', '13', '20', '26', '15', '9', '3', '19', '7', '2', '18', '6', '25', '14']","['10', '13', '18', '19', '20', '21', '23', '30', '6']",[]
787-1,"['9', '26', '10', '19', '12', '8', '14', '22', '13', '21', '24', '5', '11', '3', '17', '18', '27', '16', '4', '6', '23', '30', '15', '2', '7', '25', '28', '20', '1', '29']","['26', '10', '19', '12', '8', '14', '13', '21', '24', '5', '11', '3', '17', '18', '27', '16', '4', '6', '23', '30', '2', '7', '25', '28', '20', '1', '29']","['5', '7']",[]
190-2,"['7', '16', '29', '10', '14', '30', '3', '8', '23', '5', '12', '15', '26', '2', '4', '19', '27', '17', '20', '28', '11', '22', '1', '25', '13', '21', '24', '9', '6', '18']","['7', '16', '29', '10', '14', '30', '3', '8', '23', '5', '12', '15', '26', '2', '4', '19', '27', '17', '28', '11', '1', '25', '13', '21', '24', '9', '6', '18']","['1', '10', '11', '13', '14', '15', '16', '17', '18', '19', '2', '21', '23', '24', '26', '27', '28', '29', '3', '30', '4', '5', '6', '7', '9']",['20']
416-1,"['25', '3', '15', '27', '12', '14', '13', '5', '7', '8', '6', '18', '26', '28', '4', '20', '17', '19', '22', '1', '11', '29', '23', '24', '16', '21', '9', '10', '30', '2']","['25', '3', '15', '27', '12', '14', '13', '5', '7', '8', '6', '26', '28', '4', '20', '17', '19', '22', '1', '11', '29', '23', '24', '16', '21', '9', '10', '30', '2']",[],[]
476-2,"['23', '28', '24', '17', '14', '12', '27', '8', '7', '15', '25', '3', '13', '4', '10', '5', '19', '2', '1', '30', '22', '20', '26', '16', '18', '11', '9', '29', '6', '21']","['28', '17', '14', '12', '27', '7', '25', '3', '4', '10', '19', '2', '30', '22', '20', '26', '16', '18', '9', '29', '21']","['10', '18', '19', '2', '21', '25', '26', '28', '29', '3', '30', '4']","['11', '13', '15', '15', '6']"
476-0,"['22', '7', '5', '19', '3', '30', '29', '20', '17', '10', '11', '15', '24', '23', '8', '16', '4', '6', '26', '18', '9', '21', '12', '25', '13', '28', '1', '2', '27', '14']","['7', '19', '20', '11', '23', '8', '4', '26', '9', '25', '13', '1', '2', '27', '14']","['11', '14', '2', '20', '23', '27', '4', '7', '8', '9']","['10', '21', '21', '22', '24', '28', '29', '29', '3', '30', '5', '6']"
78-0,"['28', '19', '2', '23', '11', '21', '27', '25', '30', '13', '7', '10', '26', '6', '18', '20', '1', '24', '8', '9', '12', '14', '17', '29', '3', '16', '15', '4', '5', '22']","['28', '19', '2', '23', '11', '21', '25', '30', '13', '7', '10', '26', '6', '18', '20', '1', '24', '8', '9', '12', '17', '29', '3', '16', '15', '4', '5', '22']","['1', '10', '11', '12', '13', '15', '16', '17', '18', '19', '2', '20', '21', '22', '24', '25', '26', '28', '3', '4', '5', '6', '7', '8', '9']","['14', '14', '27', '27']"
787-0,"['26', '8', '22', '3', '17', '1', '28', '20', '6', '18', '24', '4', '5', '13', '16', '25', '12', '10', '21', '19', '9', '30', '7', '27', '29', '2', '14', '23', '15', '11']","['8', '3', '17', '28', '20', '6', '18', '24', '4', '5', '13', '25', '21', '19', '9', '30', '7', '27', '29', '2', '14', '23', '15', '11']","['11', '14', '17', '19', '2', '20', '21', '23']","['12', '12', '12', '16']"
190-1,"['6', '1', '11', '19', '7', '26', '29', '9', '12', '2', '22', '23', '30', '14', '15', '27', '28', '8', '18', '3', '25', '20', '16', '24', '5', '4', '21', '17', '10', '13']","['6', '1', '11', '19', '7', '26', '29', '9', '12', '2', '22', '23', '30', '14', '15', '27', '28', '8', '18', '3', '25', '20', '16', '24', '5', '4', '21', '17', '10', '13']","['15', '17', '2', '24', '26', '28', '29', '30', '4', '5', '6', '9']",[]
787-2,"['2', '14', '5', '29', '1', '13', '12', '24', '22', '18', '27', '30', '9', '28', '6', '20', '3', '4', '8', '7', '15', '23', '11', '16', '17', '19', '25', '21', '26', '10']","['2', '14', '1', '24', '18', '30', '28', '6', '20', '3', '8', '15', '23', '11', '19', '25']",[],[]
119-2,"['16', '26', '24', '19', '17', '4', '10', '14', '13', '8', '5', '25', '11', '23', '3', '7', '2', '28', '30', '15', '9', '29', '22', '21', '18', '6', '1', '27', '12', '20']","['16', '26', '24', '19', '17', '4', '13', '5', '25', '11', '28', '30', '15', '9', '29', '22', '21', '18', '6', '1', '27', '12', '20']","['1', '12', '13', '15', '18', '20', '22', '27', '29', '30']","['2', '2', '23', '7', '8']"
79-0,"['14', '5', '22', '28', '24', '3', '17', '4', '9', '6', '10', '21', '7', '12', '1', '30', '29', '15', '23', '26', '2', '8', '27', '19', '20', '18', '11', '16', '13', '25']","['14', '28', '24', '3', '4', '10', '21', '26', '2', '8', '19', '11', '13']",['21'],"['12', '16', '27', '5']"
416-0,"['29', '25', '27', '26', '19', '13', '23', '12', '1', '14', '6', '3', '15', '4', '30', '9', '8', '20', '24', '11', '7', '10', '17', '16', '2', '5', '18', '28', '21', '22']","['29', '25', '27', '19', '13', '23', '12', '1', '14', '6', '3', '15', '4', '30', '9', '8', '20', '24', '11', '7', '10', '17', '16', '2', '5', '18', '28', '21', '22']",[],['26']
20-0,"['11', '20', '28', '6', '21', '18', '23', '27', '22', '9', '25', '10', '8', '12', '1', '29', '24', '16', '4', '7', '26', '14', '3', '15', '17', '5', '2', '13', '19', '30']","['11', '20', '28', '6', '21', '18', '23', '27', '22', '9', '25', '10', '8', '12', '1', '29', '24', '16', '4', '7', '26', '14', '3', '15', '17', '5', '2', '13', '19', '30']",[],[]
732-1,"['8', '17', '29', '20', '10', '21', '15', '22', '23', '3', '6', '16', '26', '7', '18', '30', '28', '24', '12', '19', '4', '27', '1', '11', '5', '14', '25', '9', '13', '2']","['8', '29', '20', '10', '21', '15', '22', '23', '3', '6', '26', '7', '30', '24', '12', '19', '27', '1', '5', '14', '25', '9', '2']","['12', '19', '20', '23', '30', '9']","['13', '16', '4']"
22-0,"['16', '15', '27', '10', '4', '17', '8', '30', '20', '23', '13', '26', '1', '12', '24', '6', '21', '14', '22', '19', '2', '28', '18', '3', '29', '7', '11', '5', '25', '9']","['16', '15', '17', '20', '23', '26', '1', '12', '24', '6', '21', '19', '3', '29', '7', '11', '5']","['1', '11', '15', '16', '21', '24', '26', '29', '3']","['13', '14', '27']"
79-2,"['21', '20', '16', '9', '24', '30', '29', '23', '15', '26', '27', '12', '11', '17', '7', '4', '22', '10', '13', '28', '8', '25', '14', '19', '3', '1', '6', '18', '2', '5']","['21', '20', '9', '24', '30', '29', '23', '26', '11', '7', '4', '13', '8', '25', '3', '6', '18', '2', '5']","['18', '24', '26', '30', '5', '6', '9', '2']","['16', '22']"
78-1,"['17', '15', '27', '2', '29', '23', '19', '21', '22', '9', '26', '3', '16', '18', '10', '14', '12', '6', '20', '13', '28', '11', '30', '8', '24', '7', '1', '25', '5', '4']","['17', '15', '27', '2', '29', '23', '19', '21', '22', '9', '26', '3', '16', '10', '20', '13', '28', '30', '8', '24', '1', '25', '4']","['1', '10', '13', '16', '19', '2', '20', '21', '23', '24', '25', '26', '28', '29', '3', '8', '9']","['11', '12', '14', '5', '6']"
732-0,"['11', '8', '17', '20', '6', '22', '16', '9', '2', '1', '24', '23', '15', '7', '30', '5', '28', '29', '19', '4', '3', '14', '21', '26', '18', '13', '12', '25', '10', '27']","['11', '8', '17', '6', '22', '16', '9', '2', '1', '24', '23', '30', '5', '28', '19', '4', '3', '14', '21', '26', '18', '13', '12', '25', '10']","['1', '10', '11', '12', '14', '16', '17', '18', '2', '21', '22', '24', '26', '3', '8', '9']","['15', '15', '20', '27', '29', '7']"
