sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '13', '3', '10', '15', '1', '18', '12', '30', '27', '8', '20', '6', '14', '19', '17', '29', '22', '9', '2', '5', '7', '25', '26', '24', '21', '11', '4', '23', '28']","['16', '13', '3', '10', '15', '1', '18', '30', '27', '8', '20', '6', '14', '17', '29', '5', '7', '25', '26', '21', '11', '4', '23', '28']",[],[]
476-1,"['22', '20', '3', '8', '13', '14', '2', '18', '9', '15', '27', '24', '10', '1', '25', '12', '4', '21', '6', '11', '5', '29', '7', '23', '16', '19', '28', '30', '26', '17']","['22', '3', '14', '2', '9', '15', '25', '12', '6', '5', '29', '7', '16', '28', '30']","['12', '14', '15', '16', '2', '22', '25', '28', '29', '3', '30', '5', '6', '7', '9']","['1', '10', '11', '13', '17', '18', '19', '20', '21', '23', '24', '26', '27', '4', '8']"
119-1,"['26', '30', '8', '22', '28', '17', '12', '3', '24', '19', '11', '27', '14', '13', '16', '5', '18', '9', '6', '10', '4', '2', '23', '1', '15', '29', '7', '21', '20', '25']","['26', '30', '8', '22', '28', '17', '12', '3', '24', '19', '11', '27', '14', '13', '16', '5', '18', '6', '10', '4', '23', '15', '7', '21', '20']","['13', '14', '15', '17', '18', '19', '21', '22', '24', '27', '3', '7', '8']",[]
78-2,"['14', '4', '2', '11', '29', '28', '20', '21', '22', '5', '25', '3', '13', '12', '6', '17', '18', '9', '19', '16', '10', '8', '7', '23', '15', '24', '27', '26', '30', '1']","['14', '4', '11', '29', '28', '21', '25', '3', '13', '12', '6', '17', '18', '9', '19', '16', '10', '8', '23', '24', '27', '26', '30']","['10', '11', '12', '13', '14', '16', '17', '18', '19', '21', '23', '24', '25', '26', '27', '28', '3', '30', '8', '9']",['1']
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['12', '14', '17', '25', '27', '28', '3', '4', '6']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '10', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['11', '13', '18', '19', '20', '21', '22', '23', '25', '30', '6', '7', '8', '9']",[]
125-0,"['6', '16', '30', '25', '29', '28', '3', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['19', '23', '3']",[]
119-0,"['11', '16', '8', '1', '27', '5', '10', '19', '6', '26', '15', '25', '2', '18', '14', '13', '9', '12', '23', '3', '28', '7', '30', '22', '21', '20', '29', '17', '24', '4']","['11', '16', '8', '1', '5', '10', '26', '15', '25', '2', '14', '13', '9', '12', '3', '7', '22', '21', '20', '24', '4']","['1', '10', '11', '12', '13', '14', '15', '16', '2', '20', '22', '26', '3', '4', '5', '7', '8']",[]
787-1,"['2', '23', '9', '4', '29', '16', '5', '10', '11', '26', '28', '18', '27', '13', '15', '25', '20', '12', '3', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14', '1']","['2', '23', '4', '29', '16', '5', '10', '11', '28', '18', '27', '13', '15', '25', '20', '12', '3', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['25', '27']",[]
190-2,"['27', '30', '4', '16', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '10', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '28', '18', '20']","['27', '30', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '28', '18', '20']","['1', '11', '12', '14', '15', '17', '18', '19', '2', '20', '21', '22', '23', '24', '27', '28', '29', '30', '4', '5', '7', '8']",['10']
416-1,"['27', '23', '6', '14', '11', '18', '1', '10', '15', '5', '4', '22', '9', '7', '29', '2', '28', '20', '26', '21', '12', '13', '17', '30', '16', '8', '24', '25', '3', '19']","['27', '23', '14', '11', '18', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '26', '21', '12', '17', '30', '16', '8', '24', '25', '3']",[],[]
476-2,"['30', '17', '15', '9', '22', '13', '1', '5', '2', '12', '4', '24', '19', '27', '8', '7', '18', '10', '11', '28', '25', '20', '3', '26', '16', '29', '23', '21', '6', '14']","['9', '2', '12', '4', '18', '10', '25', '20', '29', '21', '6']","['12', '20', '21', '9']","['1', '13', '19', '26', '27']"
