sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '13', '3', '10', '26', '15', '1', '18', '9', '30', '27', '8', '20', '6', '22', '24', '14', '19', '17', '7', '23', '2', '29', '5', '12', '25', '21', '11', '4', '28']","['16', '13', '3', '10', '15', '1', '18', '9', '30', '27', '8', '20', '6', '22', '24', '14', '17', '2', '29', '5', '12', '25', '21', '11', '4', '28']",[],[]
476-1,"['17', '12', '22', '20', '29', '3', '10', '8', '13', '21', '18', '9', '27', '24', '28', '1', '25', '26', '6', '11', '5', '7', '23', '16', '19', '15', '30', '2', '14', '4']","['17', '22', '10', '21', '25', '26', '6', '5', '7', '16', '30', '4']","['10', '16', '17', '21', '22', '25', '26', '4', '5', '6', '7']","['1', '1', '11', '12', '13', '14', '15', '18', '18', '19', '2', '20', '20', '23', '24', '27', '28', '29', '3', '8', '9', '9']"
119-1,"['30', '8', '22', '28', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '26', '25', '14', '13', '29', '16', '5', '23', '18', '6', '10', '4', '15', '7', '21', '20']","['30', '8', '22', '28', '17', '12', '3', '24', '2', '1', '19', '27', '9', '25', '14', '13', '29', '16', '5', '18', '6', '10', '4', '15', '7', '21', '20']","['13', '14', '18', '19', '28', '29', '30', '5', '6', '7', '8']",[]
78-2,"['4', '11', '29', '21', '22', '1', '5', '20', '15', '7', '25', '13', '28', '9', '12', '2', '6', '17', '18', '19', '10', '14', '8', '26', '23', '24', '16', '3', '27', '30']","['11', '29', '22', '1', '5', '15', '7', '25', '13', '12', '2', '6', '17', '18', '19', '8', '23', '24', '27', '30']","['11', '12', '13', '15', '17', '19', '2', '22', '23', '24', '25', '27', '29', '30', '5', '6', '7', '8']","['14', '14', '28', '4']"
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['11', '17', '22', '28', '5', '9']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['12', '15', '26', '29', '3', '30', '5', '6', '7', '9']",[]
125-0,"['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '21', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '4', '26', '5', '17']","['11', '13', '27', '28', '29', '4']",[]
119-0,"['1', '11', '9', '18', '16', '10', '8', '14', '13', '1', '27', '3', '19', '16', '5', '28', '25', '10', '11', '29', '12', '19', '6', '23', '26', '7', '15', '2', '17', '25', '4', '2', '18', '15', '14', '13', '20', '9', '6', '12', '27', '23', '30', '3', '26', '28', '7', '30', '22', '20', '22', '8', '29', '17', '24', '5', '4', '21']","['11', '18', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '17', '25', '2', '14', '13', '9', '6', '12', '27', '30', '3', '7', '22', '20', '24', '4']",['19'],[]
787-1,"['2', '26', '23', '4', '1', '16', '10', '11', '30', '27', '15', '25', '13', '20', '12', '3', '9', '7', '29', '21', '6', '18', '17', '24', '22', '19', '28', '8', '14', '5']","['2', '26', '23', '4', '1', '16', '10', '11', '27', '15', '25', '20', '12', '3', '9', '7', '21', '6', '17', '24', '22', '19', '8', '14']","['17', '7']",['13']
190-2,"['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '25', '26', '28', '29', '3', '30', '4', '5', '6', '7', '8']",[]
